permitnumber,year,permitvalidfrom,permitvalidto,loaddescription,state,origin,destination,route_location_origin,authorizedhighways,route_location_1,route_location_2,route_location_3,route_location_4,route_location_5,route_location_6,route_location_7,route_location_8,route_location_9,route_location_10,route_location_11,route_location_12,route_location_13,route_location_14,route_location_15,route_location_16,route_location_17,route_location_18,route_location_19,route_location_20,route_location_21,route_location_22,route_location_23,route_location_24
e23-000133,2023,01/05/2023,01/11/2023,GROVE GMK 7550 TRUCK CRANE  UNIT# 2172,California,San Diego,Lakeside,"mira mesa blvd San Diego, California",* from mira mesa blvd e/b on ramp - 015s - 052e - 067n - to mapleview st exit (mapleview st/lake jennings park rd) *,I-15,SR-52,SR-67,mapleview st,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000142,2023,01/03/2023,01/09/2023,MANUFACTURED HOUSING AN 40955,California,Riverside,Santa Clarita,"blaine st Riverside, California",* from blaine st w/b on ramp - 215n - to orange st e/b off ramp exit number 52b ** from main st(riverside) s/b on ramp - 060w - to rubidoux blvd n/b off ** from rubidoux blvd s/b on ramp - 060w - 015n - 210w - 005n - 014n - to golden valley rd w/b off ramp *,I-215,orange st,SR-60,rubidoux blvd,SR-60,I-15,SR-210,I-5,SR-14,golden valley rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000144,2023,01/03/2023,01/09/2023,MANUFACTURED HOUSING AN 40955,California,Santa Clarita,Santa Maria,"newhall ranch rd Santa Clarita, California",* from newhall ranch rd w/b on ramp - 005n - to parker rd exit (parker rd e/b off ramp exit number 176a) ** from lake hughes rd w/b on ramp - 005n - 166w - 033s - 166w - 101s - 135s - to donovan rd exit (donovan rd) *,I-5,parker rd,I-5,SR-166,SR-33,SR-166,US-101,SR-135,donovan rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000143,2023,01/03/2023,01/09/2023,POWERSCREEN CRUSHER,California,Dixon,Sutter,"vaughn rd Dixon, California",* from vaughn rd - 113n - 080e - 113n - 005n - to rte 113 north/yuba city exit (east st w/b off ramp exit number 538) - from east st w/b on ramp - 005s - 099n - 020w - to humphrey rd exit (humphrey rd) ** from acacia rd - 020w - to morehead rd exit (morehead rd) *,SR-113,I-80,SR-113,I-5,SR-113,east st,I-5,SR-99,SR-20,humphrey rd,SR-20,morehead rd,None,None,None,None,None,None,None,None,None,None,None,None
e23-000146,2023,01/03/2023,01/09/2023,MANUFACTURED HOUSING,California,San Jacinto,Oceanside,"menlo ave San Jacinto, California",* from menlo ave/san jacinto st - 079s - 074w - 215s - 015s - 076w - to douglas dr exit (douglas dr) * el camino real uc under 76 *,SR-79,SR-74,I-215,I-15,SR-76,douglas dr,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000147,2023,01/03/2023,01/09/2023,MANUFACTURED HOUSING,California,San Jacinto,Baldwin Park,"sanderson ave San Jacinto, California",* from sanderson ave @ ramona expwy - 079n - 010w - 215n - 210w - 605s - to arrow highway exit (arrow highway e/b off ramp exit number 26) *,SR-79,I-10,I-215,SR-210,I-605,arrow highway,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000145,2023,01/03/2023,01/09/2023,FORKLIFT(1),California,I-40/Az Line,"6111 Bandini Blvd, Commerce, Ca 90040, Usa","az line I-40/Az Line, California",* from az line 40 - 040w - 015s - 210w - 605s - 010w - 710s - to bandini blvd exit (bandini blvd e/b off ramp exit number 17a) *,I-40,I-15,SR-210,I-605,I-10,I-710,bandini blvd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000157,2023,01/03/2023,01/09/2023,(2)18' ROD REELS LOADED END TO END,California,Bakersfield,Taft,"7th standard rd Bakersfield, California",* from 7th standard rd - 043s - to buttonwillow exit (blue star memorial hwy) * from tracy ave - 058w - to wasco way exit (wasco way) *,SR-43,buttonwillow,SR-58,wasco way,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000156,2023,01/03/2023,01/09/2023,(2)18' ROD REELS LOADED END TO END,California,Taft,Bakersfield,"wasco way Taft, California",* from wasco way - 058e - to tracy ave exit (tracy ave) * from blue star memorial hwy - 043n - to 7th standard rd exit (7th standard rd) *,SR-58,tracy ave,SR-43,SR-7,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000064,2023,01/03/2023,01/09/2023,Satellite Container (NON-HAZMAT),California,Or I-5,1 Rocket Rd Hawthorne Ca,"or line Or I-5, California",* from or line 5 - 005s - 405s - 105e - to crenshaw blvd exit (120th st s/b off ramp exit number 5) *,I-5,I-405,I-105,crenshaw blvd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000162,2023,01/04/2023,01/10/2023,CAT D-8L DOZER,California,Lucerne Valley,29 Palms,"meridian rd Lucerne Valley, California",* from meridian rd - 018w - 247s - to reche rd exit (reche rd) ** from yucca mesa rd - 062e - to mojave ave exit (mojave ave) *,SR-18,SR-247,reche rd,SR-62,mojave ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000161,2023,01/04/2023,01/10/2023,90 TON RT CRANE,California,West Covina,San Bernardino,"vincent ave West Covina, California",* from vincent ave n/b on ramp - 010e - to tippecanoe ave exit (tippecanoe ave n/b off ramp exit number 74) *,I-10,tippecanoe ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000155,2023,01/03/2023,01/09/2023,SOUND WALL PANEL TILTED ON A FRAME,California,Highland,Glendora,"california st Highland, California",* from california st s/b on ramp - 10w - 215n - 210w - to grand ave n/b off ramp # 42 *,I-10,I-215,SR-210,grand ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000154,2023,01/03/2023,01/09/2023,SOUND WALL PANEL TILTED ON A FRAME,California,Highland,Glendora,"california st Highland, California",* from california st s/b on ramp - 10w - 215n - 210w - to grand ave n/b off ramp # 42 *,I-10,I-215,SR-210,grand ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000153,2023,01/03/2023,01/09/2023,SOUND WALL PANEL TILTED ON A FRAME,California,Highland,San Dimas,"california st Highland, California",* from california st s/b on ramp - 10w - 215n - 210w - 57s - to covina blvd e/b off ramp # 24a *,I-10,I-215,SR-210,SR-57,covina blvd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000152,2023,01/03/2023,01/09/2023,SOUND WALL PANEL TILTED ON A FRAME,California,Highland,San Dimas,"california st Highland, California",* from california st s/b on ramp - 10w - 215n - 210w - 57s - to covina blvd e/b off ramp # 24a *,I-10,I-215,SR-210,SR-57,covina blvd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000149,2023,01/03/2023,01/09/2023,2 COOLING TOWER E/E 1300540,California,Arizona State Line,Commerce,"az line Arizona State Line, California",* from az line 40 - 040w - 015s - 210w - 605s - to washington blvd west/slauson ave exit (washington blvd w/b off ramp exit number 14a) *,I-40,I-15,SR-210,I-605,washington blvd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000151,2023,01/05/2023,01/11/2023,JET ENGINE #1300848(AZ 40 TO SF),California,Arizona State Line,San Francisco,"az line Arizona State Line, California",* from az line 40 - 040w - 015s - 058w - 099n - 152w - 005n - 580w - 680s - 101n - to san bruno ave exit (san bruno ave e/b off ramp) *,I-40,I-15,SR-58,SR-99,SR-152,I-5,I-580,I-680,US-101,san bruno ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000159,2023,01/03/2023,01/09/2023,NOSECONE #1300862,California,Huntington Beach,Arizona,"valley view st Huntington Beach, California",* from valley view st s/b on ramp - 022e - 005s - 805s - 008e - to az line 8 exit *,SR-22,I-5,I-805,I-8,az line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000169,2023,01/03/2023,01/09/2023,KPI-JCI GT165DF SCREEN PLANT,California,"Lake Elsinore, Ca.","Mojave, Ca","central ave Lake Elsinore, Ca., California",* from central ave @ collier ave - 074e - 015n - 018w - 138w - 014n - to mono st/oak creek rd exit (mono st) *,SR-74,I-15,SR-18,SR-138,SR-14,mono st,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000160,2023,01/03/2023,01/09/2023,MANUFACTURED HOUSING,California,Riverside,Baldwin Park,"cantu Riverside, California",* from cantu-galleano ranch rd w/b on ramp - 015n - 210w - 605s - to arrow highway exit (arrow highway e/b off ramp exit number 26) *,galleano ranch rd,I-15,SR-210,I-605,arrow highway,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000165,2023,01/03/2023,01/09/2023,CAT 335 EXCAVATOR,California,San Diego,Or Line,"camino del norte e San Diego, California",* from camino del norte e/b on ramp - 015n - 395n - 058w - 099n - 058w - to mohawk st exit (mohawk st) * from rosedale hwy/sidding rd - 043n - to buttonwillow/mckittrick exit (blue star memorial hwy) * from tracy ave on ramp - 005n - 120e - 099n - 050e - to watt ave exit (watt ave n/b off ramp exit number 11) * watt ave north oc over 51 (bus rte 80/cap city fwy) * from watt ave n/b on ramp - 080w - 005n - to or line 5 exit *,I-15,US-395,SR-58,SR-99,SR-58,mohawk st,SR-43,buttonwillow/mckittrick,I-5,SR-120,SR-99,US-50,watt ave,I-80,I-5,or line,None,None,None,None,None,None,None,None
e23-000170,2023,01/03/2023,01/09/2023,Manufactured Home Serial 41151,California,Riverside,Porterville,"van buren blvd Riverside, California",* from van buren blvd n/b on ramp - 060w - 015n - 210w - 005n - 014n - to golden valley rd exit (golden valley rd w/b off ramp) ** from newhall ranch rd w/b on ramp - 005n - to 7th standard rd/rowlee rd exit (7th standard rd e/b off ramp exit number 262) *7th standard rd across 43*7th standard rd over 99* from merle haggard dr - 065n - to north grand ave exit (north grand ave) *,SR-60,I-15,SR-210,I-5,SR-14,golden valley rd,I-5,SR-7,SR-65,north grand ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000175,2023,01/03/2023,01/09/2023,GENERATOR,California,Bakersfield,Az Line 10,"sabodan st Bakersfield, California",* sabodan st oc over hwy 5 * from sabodan st - 166e - 099n - 058e - 015s - 010e - to az line 10 exit *,SR-166,SR-99,SR-58,I-15,I-10,az line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000174,2023,01/03/2023,01/09/2023,GENERATOR                                                                        baby 9,California,Bakersfield,Az Line 10,"sabodan st Bakersfield, California",* sabodan st oc over hwy 5 * from sabodan st - 166e - 099n - 058e - 015s - 215s - 010e - to az line 10 exit *,SR-166,SR-99,SR-58,I-15,I-215,I-10,az line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000177,2023,01/03/2023,01/09/2023,AC UNIT CRATED FOR PROTECTION,California,Az Line Hwy 10,Pleasonton,"az line Az Line Hwy 10, California",* from az line 10 - 010w - 005n - 580w - 084s - to stanley blvd exit (stanley blvd w/b off ramp) *,I-10,I-5,I-580,SR-84,stanley blvd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000176,2023,01/03/2023,01/09/2023,UNLADENTRAILER,California,Pleasonton,Or Line Hwy 5,"stanley blvd Pleasonton, California",* from stanley blvd e/b on ramp - 084n - 580e - 205e - 005n - to or line 5 exit *,SR-84,I-580,I-205,I-5,or line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000187,2023,01/05/2023,01/11/2023,302CC Blackfin Boat,California,I-8@ Az Line,"34671 Puerto Pl A, Dana Point, Ca 92629","az line I-8@ Az Line, California",* from az line 8 - 008w - 805n - 005n - 001n - to pacific coast hwy exit *,I-8,I-805,I-5,SR-1,pacific coast hwy,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000188,2023,01/05/2023,01/11/2023,UNLADEN TRAILER,California,"34671 Puerto Pl A, Dana Point, Ca 92629",Az Line,"pacific coast hwy 34671 Puerto Pl A, Dana Point, Ca 92629, California",* from pacific coast hwy - 001s - 005s - 805s - 008e - to az line 8 exit *,SR-1,I-5,I-805,I-8,az line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000183,2023,01/03/2023,01/09/2023,335 CAT EXCAVATOR,California,Boulder Creek,Felton,"bear creek rd Boulder Creek, California",* from bear creek rd - 009s - to graham hill rd exit (graham hill rd/felton empire rd) *,SR-9,graham hill rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000178,2023,01/03/2023,01/09/2023,349 CAT EXCAVATOR,California,Sacramento,Georgetown,"watt ave Sacramento, California",* from watt ave n/b on ramp - 050e - to ponderosa rd exit (ponderosa rd n/b off ramp exit number 37) ** from lotus rd/co rd p21 - 049n - 193e - to cherry acres rd exit (cherry acres rd) *,US-50,ponderosa rd,SR-49,SR-193,cherry acres rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000189,2023,01/03/2023,01/09/2023,John Deere n530C Seeder,California,Az Line,"2653 E Wright Road, Holtville","az line Az Line, California",* from az line 8 - 008w - 115n - to snyder rd exit (snyder rd) *,I-8,SR-115,snyder rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000202,2023,01/03/2023,01/09/2023,unladen empty trailer,California,"2653 E Wright Road, Holtville",Az Line,"snyder rd 2653 E Wright Road, Holtville, California",* from snyder rd - 115s - 008e - to az line 8 exit *,SR-115,I-8,az line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000186,2023,01/04/2023,01/10/2023,"MOBILE HOME, SERIAL #14631",California,Oregon Line 5,Ripon,"or line Oregon Line 5, California",* from or line 5 - 005s - 273s - 299e (lake blvd) - 005s - to hahn rd exit (hahn rd e/b off ramp exit number 569) * from county line rd w/b on ramp - 005s - 113s - 080e - 005s - 120e - 099s - to austin rd exit (east moffat blvd w/b off ramp exit number 240) *,I-5,SR-273,SR-299,I-5,hahn rd,I-5,SR-113,I-80,I-5,SR-120,SR-99,austin rd,None,None,None,None,None,None,None,None,None,None,None,None
e23-000185,2023,01/04/2023,01/10/2023,"MOBILE HOME, SERIAL #14631",California,Oregon Line 5,Ripon,"or line Oregon Line 5, California",* from or line 5 - 005s - 273s - 299e (lake blvd) - 005s - to hahn rd exit (hahn rd e/b off ramp exit number 569) * from county line rd w/b on ramp - 005s - 113s - 080e - 005s - 120e - 099s - to austin rd exit (east moffat blvd w/b off ramp exit number 240) *,I-5,SR-273,SR-299,I-5,hahn rd,I-5,SR-113,I-80,I-5,SR-120,SR-99,austin rd,None,None,None,None,None,None,None,None,None,None,None,None
e23-000180,2023,01/03/2023,01/09/2023,CAT D8R DOZER NO SLOPE BOARD,California,Fontana,Moreno Valley,"cherry ave Fontana, California",* from cherry ave s/b on ramp - 010e - 079s - to ramona expwy exit (sanderson ave @ ramona expwy) ** from ramona expwy w/b on ramp - 215n - to alessandro blvd exit (alessandro blvd e/b off ramp) *,I-10,SR-79,ramona expwy,I-215,alessandro blvd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000181,2023,01/05/2023,01/11/2023,SECTIONAL BARGE,California,Az Line,"1521 Pier C St, Long Beach, Ca","az line Az Line, California",* from az line 40 - 040w - 015s - 010w - 710s - 001n - to santa fe ave exit (santa fe ave) *,I-40,I-15,I-10,I-710,SR-1,santa fe ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000179,2023,01/04/2023,01/10/2023,TEREX  RT 80 CRANE,California,Paramount,San Bernardino,"lakewood blvd Paramount, California",* from lakewood blvd n/b on ramp - 105e - 605n - 010e - 015n - 210e - 215s - 010e - to tippecanoe ave exit (tippecanoe ave n/b off ramp exit number 74) *,I-105,I-605,I-10,I-15,SR-210,I-215,I-10,tippecanoe ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000069,2023,01/05/2023,01/11/2023,SELF PROPELLED CRANE,California,Az Line 40,Ontario,"az line Az Line 40, California",* from az line 10 - 010w - 095n - 062w - 010w - 015s - to cantu-galleano ranch road exit (cantu-galleano ranch rd w/b off ramp) *,I-10,US-95,SR-62,I-10,I-15,cantu,galleano ranch road,galleano ranch rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000182,2023,01/03/2023,01/09/2023,MINE TRUCK,California,Long Beach,Nv Line 15,"magnolia ave Long Beach, California",* from magnolia ave - 001n - 710n - 105e - 605n - 210e - 015n - to nv line 15 exit *,SR-1,I-710,I-105,I-605,SR-210,I-15,nv line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000087,2023,01/03/2023,01/09/2023,Dozer Slopeboard,California,Fontana,Landers,"etiwanda ave Fontana, California",* from etiwanda ave n/b on ramp - 010e - 062e - to yucca mesa rd exit (yucca mesa rd) *,I-10,SR-62,yucca mesa rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000136,2023,01/03/2023,01/09/2023,LOADER,California,Sacramento,Nv Line 15,"watt ave Sacramento, California",* watt ave over 50 ** watt ave over 51(bus 80/capital city fwy) ** from watt ave n/b on ramp - 080w - 005n - to east st w/b off ramp #538 - from east st w/b on ramp - 005s - 113s - 080w - 680s - 004e - 242s - 680s - 580e - 005s - 119e - to taft highway/panama rd exit ** from panama rd - 184n - 058e - 015n - to nv line 15 exit *,I-80,I-5,east st,east st,I-5,SR-113,I-80,I-680,SR-4,SR-242,I-680,I-580,I-5,SR-119,taft highway,SR-184,SR-58,I-15,nv line,None,None,None,None,None
e23-000195,2023,01/03/2023,01/09/2023,John Deere 408R Sprayer,California,Az Line,985 12Th Street Firebaugh Ca,"az line Az Line, California",* from az line 40 - 040w - 015s - 058w - 099n - 180w - 033n - to nees ave exit (nees ave/12th st) *,I-40,I-15,SR-58,SR-99,SR-180,SR-33,nees ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000089,2023,01/03/2023,01/09/2023,CAT 374 EXCAVATOR,California,Az Line,Amboy,"az line Az Line, California",* from az line 62 - 062w - 095n - to topock exit (5 mile station rd) * from 5 mile station rd n/b on ramp - 040w - to newberry springs exit (ft cady rd s/b off ramp exit number 23) - from ft cady rd s/b on ramp - 040e - to kelbaker rd exit (kelbaker rd s/b off ramp) *,SR-62,US-95,topock,I-40,newberry springs,ft cady rd,I-40,kelbaker rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000088,2023,01/03/2023,01/09/2023,UNLADEN,California,Amboy,Az Line,"kelbaker rd Amboy, California",* from kelbaker rd n/b on ramp - 040e - 095s - 062e - to az line 62 exit *,I-40,US-95,SR-62,az line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-002973,2023,01/15/2023,01/21/2023,EMPTY CRATE FOR SOLAR PANELS,California,San Jose,Watsonville,"oakland rd San Jose, California",* from oakland rd e/b on ramp - 101s - 156w - 183n - 001n - to green valley rd exit (green valley rd e/b off ramp) *,US-101,SR-156,SR-183,SR-1,green valley rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000194,2023,01/03/2023,01/09/2023,JOHN DEERE 9590 TRACTOR,California,"9790 W Mt Whitney Ave Riverdale,Ca",Az Line,"mt whitney ave 9790 W Mt Whitney Ave Riverdale,Ca, California",* from mt whitney ave - 041s - 198e - 099s - 058e - 015n - 040e - to az line 40 exit *,SR-41,SR-198,SR-99,SR-58,I-15,I-40,az line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000192,2023,01/03/2023,01/09/2023,TRACTOR,California,Az Line 40,Woodland,"az line Az Line 40, California",* from az line 40 - 040w - 015s - 058w - 099n - 198w - 005n - 004e - 099n - 050w - 080w - 113n - 005n - to west st exit (west st w/b off ramp exit number 540) *,I-40,I-15,SR-58,SR-99,SR-198,I-5,SR-4,SR-99,US-50,I-80,SR-113,I-5,west st,None,None,None,None,None,None,None,None,None,None,None
e23-000193,2023,01/03/2023,01/09/2023,UNLADEN COMBINATION,California,Woodland,Az Line 40,"west st Woodland, California",* from west st e/b on ramp - 005s - 046e - 099s - 058e - 015n - 040e - to az line 40 exit *,I-5,SR-46,SR-99,SR-58,I-15,I-40,az line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000200,2023,01/04/2023,01/10/2023,CARROT HARVESTER,California,Avenal,Bakersfield,"utica ave Avenal, California",* from utica ave - 041n - 005s - 119e - to taft highway/panama rd exit (taft highway/panama rd) *,SR-41,I-5,SR-119,taft highway,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000141,2023,01/03/2023,01/09/2023,SCRAPER,California,Nv Line,San Diego,"nv line Nv Line, California",* from nv line 15 - 015s - to rancho bernardo rd exit (rancho bernardo rd w/b off ramp exit number 24) *,I-15,rancho bernardo rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000196,2023,01/03/2023,01/09/2023,R/R TAMPER,California,Vernon,Garden Grove,"atlantic blvd Vernon, California",* from atlantic blvd e/b on ramp - 710s - 405s - 022e - to harbor blvd south exit (harbor blvd s/b off ramp exit number 12a) *,I-710,I-405,SR-22,harbor blvd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000197,2023,01/03/2023,01/09/2023,R/R REGULATOR,California,Vernon,Garden Grove,"atlantic blvd Vernon, California",* from atlantic blvd e/b on ramp - 710s - 405s - 022e - to harbor blvd south exit (harbor blvd s/b off ramp exit number 12a) *,I-710,I-405,SR-22,harbor blvd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000199,2023,01/03/2023,01/09/2023,CRATED MACHINE CENTER (CRATED FOR SHIPPING PROTECTION),California,Long Beach,Az Line,"harbor ave Long Beach, California",* from harbor ave - 001s - 710n - 105e - 605n - 210e - 215s - 010e - to az line 10 exit *,SR-1,I-710,I-105,I-605,SR-210,I-215,I-10,az line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000198,2023,01/03/2023,01/09/2023,CRATED MACHINE CENTER (CRATED FOR SHIPPING PROTECTION),California,Long Beach,Az Line,"harbor ave Long Beach, California",* from harbor ave - 001s - 710n - 105e - 605n - 210e - 215s - 010e - to az line 10 exit *,SR-1,I-710,I-105,I-605,SR-210,I-215,I-10,az line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000205,2023,01/03/2023,01/09/2023,MRAP,California,Az Line,"1320 Pier C St, Long Beach, Ca","az line Az Line, California",* from az line 8 - 008w - 805n - 005n - 405n - 605n - 105w - 710s - 001n - to santa fe ave exit (santa fe ave) *,I-8,I-805,I-5,I-405,I-605,I-105,I-710,SR-1,santa fe ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000203,2023,01/03/2023,01/09/2023,POTATO PLANTER,California,Westmorland,Arvin,"martin rd Westmorland, California",* from martin rd - 086n - 010w - 062e - to yucca mesa rd exit (yucca mesa rd) ** from reche rd - 247n - 015s - 058w - 223w - to edison rd exit (edison rd) *,SR-86,I-10,SR-62,yucca mesa rd,SR-247,I-15,SR-58,SR-223,edison rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000208,2023,01/06/2023,01/12/2023,UNLADEN 11 AXLE COMBINATION WITH 12' WIDE DECK,California,Stockton,Sacramento,"eight mile rd Stockton, California",* from eight mile rd e/b on ramp - 099n - to florin rd east exit (florin rd e/b off ramp) *,SR-99,florin rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000207,2023,01/06/2023,01/12/2023,LIGHT RAIL VEHICLE (SE11),California,Sacramento,Ca/Or Line On 97,"madison ave Sacramento, California",*watt ave across 16 * watt ave over 50 * watt ave over 51(bus 80/cap city fwy) * watt ave over 80 * from madison ave s/b onramp - 80w - 5n - to red bluff exit (south main st w/b offramp exit  647) ** from walnut st/co rd a-7 - 36w - 5n - to sunset hills dr e/b offramp exit 659 ** from sunset hills dr  e/b onramp - 5n - 97n - to or line 97 exit *,I-80,I-5,red bluff,SR-7,SR-36,I-5,sunset hills dr,I-5,US-97,or line,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000209,2023,01/06/2023,01/12/2023,RAIL CAR,California,Nevada State Line,Hwayward,"nv line Nevada State Line, California",* from nv line 15 - 015s - 058w - 099n - 198w - to redington st exit (redington st n/b off ramp) ** from 11th ave s/b on ramp - 198w - 005n - 580w - 238n - 880s - to whipple rd exit (whipple rd e/b off ramp) *,I-15,SR-58,SR-99,SR-198,redington st,SR-198,I-5,I-580,SR-238,I-880,whipple rd,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000210,2023,01/06/2023,01/12/2023,UNLADEN,California,Hayward,Arizona State Line,"whipple rd Hayward, California",* from whipple rd w/b on ramp - 880s - 101s - 025s - 156e - 152e - 005s - 046e - 099s - 058e - 395s - 015s - 215s - 010e - to az line 10 exit *,I-880,US-101,SR-25,SR-156,SR-152,I-5,SR-46,SR-99,SR-58,US-395,I-15,I-215,I-10,az line,None,None,None,None,None,None,None,None,None,None
e23-000206,2023,01/04/2023,01/10/2023,2 CHILLERS END TO END,California,Nv Line,Mentone,"nv line Nv Line, California",* from nv line 15 - 015s - 215s - 010e - to university st exit (university st s/b off ramp exit number 80) ** - citrus ave uc under 10 - ** from judson st - 038e - to crafton ave exit (crafton ave) *,I-15,I-215,I-10,university st,citrus ave,** from judson st,SR-38,crafton ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000214,2023,01/03/2023,01/09/2023,OFFICE TRAILER,California,Perris,Placentia,"ramona expwy w Perris, California",* from ramona expwy w/b on ramp - 215n - to main st exit (orange st e/b off ramp exit number 52b) ** from main st(riverside) s/b on ramp - 060w - to rubidoux exit (rubidoux blvd n/b off ramp) ** from rubidoux blvd s/b on ramp - 060w - 083s - 071s - 091w - 090w - to la palma ave exit (la palma ave) *,I-215,main st,SR-60,rubidoux,SR-60,SR-83,SR-71,SR-91,SR-90,la palma ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000213,2023,01/05/2023,01/11/2023,UNLADEN BLADE TRAILER,California,Lompoc,Stockton,"santa lucia cyn rd Lompoc, California",* from santa lucia cyn rd - 001n - 135n - to union valley pkwy exit (union valley pkwy) ** from union valley pkwy e/b on ramp - 101n - 046e - 005n - 004w - to port of stockton expressway exit (port of stockton expressway) *,SR-1,SR-135,union valley pkwy,US-101,SR-46,I-5,SR-4,port of stockton expressway,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000247,2023,01/03/2023,01/09/2023,JOHN DEERE 9570 TRACTOR,California,"8580 20Th Ave E, Blythe, Ca",Az Line @ I-10,"intake blvd 8580 20Th Ave E, Blythe, Ca, California",* from intake blvd/ needles n/b on ramp - 010e - to az line 10 exit *,I-10,az line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000212,2023,01/05/2023,01/11/2023,UNLADEN BLADE TRAILER,California,Lompoc,Stockton,"santa lucia cyn rd Lompoc, California",* from santa lucia cyn rd - 001n - 135n - to union valley pkwy exit (union valley pkwy) ** from union valley pkwy e/b on ramp - 101n - 046e - 005n - 004w - to port of stockton expressway exit (port of stockton expressway) *,SR-1,SR-135,union valley pkwy,US-101,SR-46,I-5,SR-4,port of stockton expressway,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
