permitnumber,year,permitvalidfrom,permitvalidto,loaddescription,state,origin,destination,route_location_origin,authorizedhighways,route_location_1,route_location_2,route_location_3,route_location_4,route_location_5,route_location_6,route_location_7,route_location_8,route_location_9,route_location_10,route_location_11,route_location_12,route_location_13,route_location_14,route_location_15,route_location_16,route_location_17,route_location_18,route_location_19,route_location_20,route_location_21,route_location_22,route_location_23,route_location_24
e24-000382,2024,01/03/2024,01/09/2024,Telecrawler Crane -6347,California,Long Beach,Stockton,"atlantic ave Long Beach, California",* from atlantic ave e/b on ramp - 405s - 605n - 010e - 057n - 210w - to foothill blvd exit (foothill blvd s/b off ramp exit number 21) ** from gould ave n/b on ramp - 210w - 005n - to templin highway exit (templin highway e/b off ramp exit number 183) - detour via ramps - from templin highway w/b on ramp - 005n - 120e - 099n - to mariposa rd exit (mariposa rd w/b off ramp exit number 252a) *,I-405,I-605,I-10,SR-57,SR-210,foothill blvd,SR-210,I-5,templin highway,detour via ramps,templin highway,I-5,SR-120,SR-99,mariposa rd,None,None,None,None,None,None,None,None,None
e24-000406,2024,01/05/2024,01/11/2024,STEEL GIRDER,California,Lancaster,Bakersfield,"ave Lancaster, California",* from ave `m` w/b on ramp - 014n - 138w - 005n - 099n - to panama ln exit (panama ln e/b off ramp exit number 20) *,SR-14,SR-138,I-5,SR-99,panama ln,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000376,2024,01/04/2024,01/10/2024,631 CAT SCRAPER,California,Placerville,Roseville,"placerville dr Placerville, California",* from placerville dr s/b on ramp - 050w - to hazel ave exit (hazel ave n/b off ramp exit number 21) ** from eureka rd n/b on ramp - 080e - 065n - to pleasant grove blvd exit (pleasant grove blvd w/b off ramp exit number 308) *,US-50,hazel ave,I-80,SR-65,pleasant grove blvd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000380,2024,01/03/2024,01/09/2024,Telecrawler Crane -6347,California,Stockton,Rocklin,"mariposa rd Stockton, California",* from mariposa rd e/b on ramp - 099n - 051n (bus 80/capital city fwy) - to `t` st exit ('t' st e/b off ramp exit number 6c) ** from `e` st w/b on ramp - 051n (bus 80/capital city fwy) - 080e - to sierra college blvd exit (sierra college blvd s/b off ramp) *,SR-99,SR-51,`t` st,SR-51,I-80,sierra college blvd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000381,2024,01/05/2024,01/11/2024,CAT D 8 DOZER,California,Acton,Playa Del Rey,"sierra hwy Acton, California",* from sierra hwy e/b on ramp - 014s - 005s - 405s - 105w - to imperial hwy exit (imperial hwy) *,SR-14,I-5,I-405,I-105,imperial hwy,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000389,2024,01/05/2024,01/11/2024,B300 Casa Grande Drill Rig (L39-L40),California,Fairfield,West Sacramento,"chadbourne rd Fairfield, California",* chadbourne rd uc 12 * from chadbourne rd n/b on ramp - 080e - 050e - to harbor blvd exit (harbor blvd n/b off ramp) *,I-80,US-50,harbor blvd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000379,2024,01/05/2024,01/11/2024,5 STEEL HEADS (STACKED / END TO END),California,Orange,Chino,"katella ave Orange, California",* from katella ave w/b on ramp - 057n - 060e - 071s - to grand ave exit (grand ave e/b off ramp exit number 10) *,SR-57,SR-60,SR-71,grand ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000468,2024,01/03/2024,01/09/2024,DCR20 DRILL,California,Orosi,Rosamond,"ave Orosi, California",* from ave 416/el monte way - 063s - 198w - 063s - 137e - 065s - 099s - 204s - to buck owens blvd exit (buck owens blvd e/b off ramp) ** from buck owens blvd e/b on ramp - 099s - 058e - 014s - to rosamond blvd exit (rosamond blvd e/b off ramp exit number 55) *,SR-63,SR-198,SR-63,SR-137,SR-65,SR-99,SR-204,buck owens blvd,SR-99,SR-58,SR-14,rosamond blvd,None,None,None,None,None,None,None,None,None,None,None,None
e24-000414,2024,01/04/2024,01/10/2024,MANUFACTURED HOUSING,California,Stanton,Corona,"orangewood ave Stanton, California",* from orangewood ave - 39s to garden grove blvd exit  * hoover st uc under 22 * from trask ave - 39n - 22e - 57n to lincoln ave e/b off ramp exit # 4 * kraemer blvd oc over 91 * from orangethorpe ave w/b on ramp - 57n to chapman ave exit(chapman ave(fullerton) e/b off ramp exit # 6b) * from yorba linda blvd w/b on ramp - 57n - 60e to ramona ave s/b off ramp exit -detour via ramps- from ramona ave n/b on ramp - 60e - 15s - 91w to maple st n/b off ramp exit *,SR-39,SR-39,SR-22,SR-57,SR-57,SR-57,SR-60,detour via ramps,ramona ave,SR-60,I-15,SR-91,None,None,None,None,None,None,None,None,None,None,None,None
e24-001272,2024,01/11/2024,01/17/2024,(Baby 9) Vessel,California,Bakersfield,Herlong,"edison highway Bakersfield, California",* truxtun ave over hwy 204 * from edison highway - 184n - to breckenridge rd exit (breckenridge rd/mills dr) ** from comanche dr s/b on ramp - 058e - to tower line rd exit (tower line rd s/b off ramp) - detour via ramps -  from tower line rd n/b on ramp - 058e - 202w - to valley blvd/tucker rd exit (valley blvd/tucker rd) ** from tehachapi blvd n/b on ramp - 058e - 015n - 247s - to reche rd exit (reche rd) ** from yucca mesa rd - 062e - to az line 62 exit *,SR-184,breckenridge rd,SR-58,tower line,detour via ramps,tower line,SR-58,SR-202,valley blvd,SR-58,I-15,SR-247,reche rd,SR-62,az line,None,None,None,None,None,None,None,None,None
