permitnumber,year,permitvalidfrom,permitvalidto,loaddescription,state,origin,destination,authorizedhighways,route_location_origin,route_intersection_origin,route_intersection_origin_x_coords,route_intersection_origin_y_coords,route_intersection_1,route_intersection_1_x_coords,route_intersection_1_y_coords,route_intersection_2,route_intersection_2_x_coords,route_intersection_2_y_coords,route_intersection_3,route_intersection_3_x_coords,route_intersection_3_y_coords,route_intersection_4,route_intersection_4_x_coords,route_intersection_4_y_coords,route_intersection_5,route_intersection_5_x_coords,route_intersection_5_y_coords,route_intersection_6,route_intersection_6_x_coords,route_intersection_6_y_coords,route_intersection_7,route_intersection_7_x_coords,route_intersection_7_y_coords,route_intersection_8,route_intersection_8_x_coords,route_intersection_8_y_coords,route_intersection_9,route_intersection_9_x_coords,route_intersection_9_y_coords,route_intersection_10,route_intersection_10_x_coords,route_intersection_10_y_coords,route_intersection_11,route_intersection_11_x_coords,route_intersection_11_y_coords,route_intersection_12,route_intersection_12_x_coords,route_intersection_12_y_coords,route_intersection_13,route_intersection_13_x_coords,route_intersection_13_y_coords,route_intersection_14,route_intersection_14_x_coords,route_intersection_14_y_coords,route_intersection_15,route_intersection_15_x_coords,route_intersection_15_y_coords,route_intersection_16,route_intersection_16_x_coords,route_intersection_16_y_coords,route_intersection_17,route_intersection_17_x_coords,route_intersection_17_y_coords,route_intersection_18,route_intersection_18_x_coords,route_intersection_18_y_coords
e23-046132,2023,06/04/2023,06/10/2023,CBI 6800CT GRINDER,California,Bakersfield,Edwards,* copus rd oc over rte 5 * from copus rd e/b on ramp - 99n to california ave w/b off ramp exit # 25 - from california ave w/b on ramp - 99s - 58e to edwards afb exit (rosamond blvd s/b off ramp exit #186) *,"copus rd Bakersfield, California","copus rd Bakersfield, California and SR-99",-118.9795056,35.0945112,SR-58 AND SR-99,-119.0395362,35.3526219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-029432,2023,04/15/2023,04/21/2023,UNLADEN 9 AXLE COMBINATION WITH JEEP DECKED ON 12'W DECK,California,Long Beach,Los Angeles,* from paramount blvd n/b on ramp - 091w - 110n - 105w - to la cienega blvd exit (imperial hwy n/b off ramp exit number 2a) *,"paramount blvd Long Beach, California","paramount blvd Long Beach, California and SR-91",-118.1600117,33.8761144,SR-91 AND SR-110,-118.284982,33.872775,I-105 AND SR-110,-118.2807593,33.9286602,I-105 AND LA CIENEGA BLVD,-118.3700462,33.9299587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-058769,2023,07/12/2023,07/18/2023,"(2) OVERSIZE TRAILER PLATFORM, STKD",California,Az Line 40,"Long Beach, Ca",* from az line 40 - 040w - 015s - 210w - 605s - 105w - 710s - 001n - to santa fe ave exit *,"az line Az Line 40, California",I-10 and Arizona Line,-114.5309445,33.6047557,I-15 AND I-40,-117.008954,34.886545,I-15 AND SR-210,-117.495885,34.136374,SR-210 AND I-605,-117.957446,34.134298,I-105 AND I-605,-118.1048384,33.9139358,I-105 AND I-710,-118.1801015,33.9128225,SR-1 AND I-710,-118.2078449,33.7898405,SR-1 AND SANTA FE AVE,-118.215494,33.789861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-083743,2023,09/30/2023,10/06/2023,470 EXCAVATOR,California,Corona,Essex,* from weirick rd e/b on ramp - 015n - 040e - to essex rd exit (essex rd s/b off ramp) *,"weirick rd Corona, California","weirick rd Corona, California and I-15",-117.5074235,33.8069562,I-15 AND I-40,-117.008954,34.886545,I-40 AND ESSEX RD,-115.320485,34.800946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-010154,2023,02/06/2023,02/12/2023,KOMATSU PC650 EXCAVATOR,California,Oceanside,Chula Vista,* from el camino real s/b on ramp - 078w - 005s - 805s - 054w - to rte 5 south exit (e street(chula vista) s/b off ramp) *,"el camino real s Oceanside, California","el camino real s Oceanside, California and SR-78",,,I-5 AND SR-78,-117.3513025,33.1770414,I-5 AND I-805,-117.040268,32.549777,SR-54 AND I-805,-117.0745078,32.658292,I-5 AND SR-54,-117.1041604,32.650381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-057281,2023,07/09/2023,07/15/2023,PETERBILT NATIONAL 367 CRANE          #45626,California,Oroville,Belden,* from pentz rd - 070e - to bucks powerhouse rd exit (bucks powerhouse rd) *,"pentz rd Oroville, California","pentz rd Oroville, California and SR-70",-121.5595019,39.6497904,SR-70 AND BUCKS POWERHOUSE RD,-121.2494512,40.0069779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-066565,2023,08/03/2023,08/09/2023,80 TON RT CRANE,California,Victorville,Menifee,* from bear valley rd w/b on ramp - 015s - 060e - 215s - to newport rd exit (newport rd w/b off ramp) *,"bear valley rd Victorville, California","bear valley rd Victorville, California and I-15",-117.3461908,34.4703646,I-15 AND SR-60,-117.550268,34.021768,SR-60 AND I-215,-117.357307,33.993341,I-215 AND NEWPORT RD,-117.1714378,33.684813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-016415,2023,02/28/2023,03/06/2023,CAT 972 Loader,California,Niland,Barstow,* from dillon rd s/b on ramp - 010w - 062e - to yucca mesa rd exit (yucca mesa rd) ** from reche rd - 247n - 015s - to l st exit (l st w/b off ramp) *,"dillon rd Niland, California","dillon rd Niland, California and I-10",-116.1727427,33.7150602,I-10 AND SR-62,-116.6043518,33.9142755,I-15 AND SR-247,-117.022901,34.885996,I-15 AND L ST,-117.0497524,34.884575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-028639,2023,04/10/2023,04/16/2023,PC300 LO DRILL,California,Hayward,San Mateo,* from clawiter rd s/b on ramp - 092w - to mariners island blvd exit (mariners island blvd n/b off ramp exit number 14a) *,"clawiter rd Hayward, California","clawiter rd Hayward, California and SR-92",-122.1209303,37.628221,SR-92 AND MARINERS ISLAND BLVD,-122.2834377,37.5573324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-015763,2023,02/27/2023,03/05/2023,JD 844 WHEEL LOADER,California,Lathrop,Sacramento,* from mossdale rd w/b on ramp - 005n - 004e - to el dorado st/center st exit (center st s/b off ramp) * el dorado st uc under * fremont st uc under 5* from pershing ave e/b on ramp - 005n - 050e - to watt ave exit (watt ave n/b off ramp exit number 11) * watt ave oc over 51 (bus 80/capital city frwy)* from watt ave n/b on ramp - 080w - 005n - to co rd 8 exit (co rd 8 e/b off ramp exit number 554) *,"mossdale rd Lathrop, California","mossdale rd Lathrop, California and I-5",-121.3146548,37.7790268,SR-4 AND I-5,-121.300591,37.948246,I-5 AND US-50,-121.5108873,38.5682793,I-5 AND I-80,-121.5171204,38.6248864,I-5 AND CO RD,-121.4969629,38.4665937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-017869,2023,03/06/2023,03/12/2023,RUBBLEMASTER TRACK CRUSHER,California,Fontana,Nv State Line At Hwy 15,* from cherry ave s/b on ramp - 010w - 015n - to nv line 15 exit *,"cherry ave Fontana, California","cherry ave Fontana, California and I-10",-117.4889708,34.0658013,I-10 AND I-15,-117.544920,34.067352,I-15 AND NV LINE,-115.392266,35.6048034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-025645,2023,04/03/2023,04/09/2023,328 EXCAVATOR,California,Fremont,Santa Cruz,* from cushing pkwy e/b on ramp - 880s - 101s - 280n - 017s - 001n - 009n - to golf club dr exit (golf club dr) *,"cushing pkwy Fremont, California","cushing pkwy Fremont, California and I-880",-121.9486408,37.4905609,US-101 AND I-880,-121.901850,37.364156,US-101 AND I-280,-122.406813,37.735269,SR-17 AND I-280,-121.940286,37.316506,SR-1 AND SR-17,-122.021507,36.989636,SR-1 AND SR-9,-122.0297558,36.9844096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-007410,2023,01/27/2023,02/02/2023,MODULAR BUILDING,California,Hanford,Laton,* from hanford armona rd - 043n - to cairo ave exit (cairo ave) *,"hanford armona rd Hanford, California","hanford armona rd Hanford, California and SR-43",-119.6007975,36.3134898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-033846,2023,04/25/2023,05/01/2023,CAT D6T DOZER W/ BLADE,California,West Sacramento,Elk Grove,* from enterprise blvd s/b on ramp - 080e - 005s - to cosumnes river blvd exit (cosumnes river blvd e/b off ramp exit number 510) *,"enterprise blvd West Sacramento, California","enterprise blvd West Sacramento, California and I-80",-121.577433,38.574226,I-5 AND I-80,-121.5171204,38.6248864,I-5 AND COSUMNES RIVER BLVD,-121.4970698,38.466575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-001851,2023,01/09/2023,01/15/2023,LINK BELT RTC8090 CRANE W/ATTACHEMENTS,California,Lakeside,Wilmington,* from slaughter house cyn rd/griffith rd - 067s - 052w - 805n - 005n - to las pulgas rd e/b off ramp (exit # 62) -detour via ramps- from las pulgas rd w/b on ramp - 005n - 022w - 405n - to  wilmington ave w/b off ramp (exit #33b) *,"slaughter house cyn rd Lakeside, California","slaughter house cyn rd Lakeside, California and SR-67",-116.9428738,32.9068224,SR-52 AND SR-67,-116.962491,32.8322913,SR-52 AND I-805,-117.1780977,32.8474801,I-5 AND I-805,-117.040268,32.549777,I-5 AND SR-22,-117.8769603,33.7788598,SR-22 AND I-405,-118.085186,33.774544,I-405 AND WILMINGTON AVE,-118.2416298,33.8258489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-063947,2023,07/27/2023,08/02/2023,HITACHI 870 EXCAVATOR      HARTILLRACKLEYBP9,California,Folsom,Diamond Springs,* from e bidwell st s/b on ramp - 050e - to missouri flat rd exit (missouri flat rd s/b off ramp exit number 44a) * from missouri flat rd - 049n - to rte 49 north/placerville exit (pleasant valley rd(diamond springs)) *,"e bidwell st Folsom, California","e bidwell st Folsom, California and US-50",-121.1149141,38.6432434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-010256,2023,02/07/2023,02/13/2023,CAT D9T SLOPEDOZER,California,Vista,Otay Mesa,* from sycamore ave s/b on ramp - 078w - to mar vista dr s/b off ramp - from mar vista dr s/b on ramp - 078e - 015s - 056w - 005s - 805s - 905e - 011e - to enrico fermi dr n/b off ramp (exit #1b) *,"sycamore ave Vista, California","sycamore ave Vista, California and SR-78",-117.2146301,33.1670183,I-15 AND SR-78,-117.351316,33.177050,I-15 AND SR-56,-117.092564,32.969107,I-5 AND SR-56,-117.2408403,32.9301482,I-5 AND I-805,-117.040268,32.549777,I-805 AND SR-905,-117.0406132,32.5681478,SR-11 AND SR-905,-116.948392,32.564100,SR-11 AND ENRICO FERMI DR,-116.9278161,32.5638533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-006027,2023,01/27/2023,02/02/2023,LIGHT RAIL VEHICLE (SAC METRO 270),California,Sacramento,Sacramento,* from south watt ave across 16 * watt ave oc over 50 * el camino ave oc over 51 *,"south watt ave Sacramento, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-024973,2023,03/30/2023,04/05/2023,MODULAR BUILDING,California,Ceres,Kerman,* from mitchell rd w/b on ramp - 099s - to liberty ave exit (sultana dr w/b off ramp) ** from sultana dr - 140e - to thornton rd exit (thornton rd) *dickenson ferry rd across 59* from mission ave e/b on ramp - 099s - 145s - to san joaquin ave exit (san joaquin ave) *,"mitchell rd Ceres, California","mitchell rd Ceres, California and SR-99",-120.9387649,37.5761141,SR-99 AND SR-145,-120.056131,36.953372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-006970,2023,01/29/2023,02/04/2023,DCG410 Kalmar Forklift Chassis,California,Oxnard,Oakland,* from rice ave e/b on ramp - 101n - 232n - 118w - 126e - 5n - to templin highway e/b off ramp exit number 183 - detour via ramps - from templin highway w/b on ramp - 5n - 580w - 238n - 880n - to market st exit (market st e/b off ramp) *,"rice ave Oxnard, California","rice ave Oxnard, California and US-101",-119.1422375,34.2225573,US-101 AND SR-232,-119.173225,34.231861,SR-118 AND SR-232,-119.135299,34.274015,SR-118 AND SR-126,-119.156358,34.289602,I-5 AND SR-126,-118.6055142,34.4431988,I-5 AND TEMPLIN HIGHWAY,-118.687859,34.569665,TEMPLIN HIGHWAY AND I-5,-118.687889,34.569674,I-5 AND I-580,-121.340756,37.596558,SR-238 AND I-580,-122.097650,37.690007,SR-238 AND I-880,-122.134700,37.689526,I-880 AND MARKET ST,-122.2832642,37.8017155,,,,,,,,,,,,,,,,,,,,,,,,
e23-009894,2023,02/07/2023,02/13/2023,Wiggins W680 Forklift,California,Oxnard,Pittsburg,* from ventura blvd/myrtle st - 232n - 118w - to wells rd * harvard blvd across rte 150 * from hallock dr/telegraph rd - 126e - 005n - to templin highway e/b off ramp exit 183 - detour via ramps - from templin highway w/b on ramp - 005n - 580w - 680n - 004e - to loveridge rd n/b off ramp exit 24 *,"ventura blvd Oxnard, California","ventura blvd Oxnard, California and SR-232",-119.1720352,34.2335382,SR-118 AND SR-232,-119.135299,34.274015,I-5 AND SR-126,-118.6055142,34.4431988,I-5 AND TEMPLIN HIGHWAY,-118.687859,34.569665,TEMPLIN HIGHWAY AND I-5,-118.687889,34.569674,I-5 AND I-580,-121.340756,37.596558,I-580 AND I-680,-121.922687,37.700955,SR-4 AND I-680,-122.069861,37.994566,SR-4 AND LOVERIDGE RD,-121.8671724,38.0117982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-036763,2023,05/04/2023,05/10/2023,623 scraper,California,Long Beach,Irvine,* from lakewood blvd w/b on ramp - 405s - 022e - 005s - to jeffrey rd exit (walnut ave w/b off ramp) *,"lakewood blvd Long Beach, California","lakewood blvd Long Beach, California and I-405",-118.1426367,33.8057279,SR-22 AND I-405,-118.085186,33.774544,I-5 AND SR-22,-117.8769603,33.7788598,I-5 AND JEFFREY RD,-117.7684373,33.6898947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-027751,2023,04/09/2023,04/15/2023,GENERATOR ENCLOSURE,California,Az Line Hwy 62,Stanford,* from az line 62 - 062w - 095n - 040w - 015s - 058w - 099n - 058w - to mohawk st exit (mohawk st) ** from rosedale hwy/sidding rd - 043n - to buttonwillow/mckittrick exit (blue star memorial hwy) ** from tracy ave on ramp - 005n - 580w - 680s - 280n - to alpine rd exit (alpine rd e/b off ramp) *,"az line Az Line Hwy 62, California",SR-62 and Arizona Line,-114.299386,34.159885,SR-62 AND US-95,-114.574251,34.188511,I-40 AND US-95,-114.5969206,34.8240555,I-15 AND I-40,-117.008954,34.886545,I-15 AND SR-58,-117.076548,34.870725,SR-58 AND SR-99,-119.0395304,35.3526592,SR-58 AND SR-99,-119.0395304,35.3526592,I-5 AND I-580,-121.340756,37.596558,I-580 AND I-680,-121.922687,37.700955,I-280 AND I-680,-121.8589036,37.3352733,I-280 AND ALPINE RD,-122.1948242,37.4087906,,,,,,,,,,,,,,,,,,,,,,,,
e23-044560,2023,05/28/2023,06/03/2023,CAT 637 SCRAPER,California,Palmdale,Wildomar,* from 165th st east - 138e - 18e - 15s - 91w - to lincoln ave s/b off ramp exit 49 * from lincoln ave s/b on ramp - 91e - 15s - to clinton keith rd e/b off ramp *,"165th st Palmdale, California","165th st Palmdale, California and SR-138",-117.8353752,34.5060976,SR-18 AND SR-138,-117.289797,34.227983,I-15 AND SR-18,-117.300712,34.545369,I-15 AND SR-91,-117.547322,33.881866,I-15 AND SR-91,-117.547322,33.881866,I-15 AND CLINTON KEITH RD,-117.2449561,33.5958092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-032008,2023,04/20/2023,04/26/2023,GENERATOR (WCS#1328214),California,Nv Line 80,San Leandro,* from nv line 80 - 080w - 005n - to rte 113 north/yuba city exit (east st w/b off ramp exit number 538) - from east st e/b on ramp - 005s - 113s - 080w - 680s - 580w - 238n - 880n - to marina blvd exit (marina blvd w/b off ramp exit number 33b) *,"nv line Nv Line 80, California",I-80 and Nevada Line,-120.0029073,39.4681518,I-5 AND I-80,-121.5171204,38.6248864,I-5 AND SR-113,-121.751637,38.685321,I-5 AND SR-113,-121.751637,38.685321,I-80 AND SR-113,-121.7702521,38.519704,I-80 AND I-680,-122.1379333,38.2163797,I-580 AND I-680,-121.922687,37.700955,SR-238 AND I-580,-122.097650,37.690007,SR-238 AND I-880,-122.134700,37.689526,I-880 AND MARINA BLVD,-122.1667436,37.7105641,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-010062,2023,02/08/2023,02/14/2023,BELL B45E DUMP TRUCK,California,Newark,Sacramento,* from thornton ave w/b on ramp - 084n - 880n - to whipple rd exit (whipple rd e/b off ramp exit number 24) ** from industrial parkway w/b on ramp - 880n - 238s - 580e - 205e - 005n - to charter way exit (charter way e/b off ramp) * el dorado under 4 * fremont under 5* from pershing ave e/b on ramp - 005n - 050e - to sunrise blvd/fair oaks exit (sunrise blvd s/b off ramp exit number 18) *,"thornton ave Newark, California","thornton ave Newark, California and SR-84",-122.0207025,37.5491954,SR-84 AND I-880,-122.035228,37.560481,SR-238 AND I-880,-122.134700,37.689526,SR-238 AND I-580,-122.097650,37.690007,I-205 AND I-580,-121.566683,37.742415,I-5 AND I-205,-121.3212098,37.7747996,I-5 AND US-50,-121.5108873,38.5682793,US-50 AND SUNRISE BLVD,-121.2704693,38.6089921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-007667,2023,02/02/2023,02/08/2023,B300 Casa Grande Drill Rig,California,West Sacramento,Sacramento,* from harbor blvd s/b on ramp - 50w - 80w - 113n - 5n - to rte 113 north/yuba city exit (east st w/b off ramp exit number 538) - from east st w/b on ramp - 5s - 80e - to watt ave s/b off ramp exit 94a * watt ave oc over 51 (bus 80/cap city frwy) * watt ave oc over 50 *,"harbor blvd West Sacramento, California","harbor blvd West Sacramento, California and US-50",-121.548666,38.575016,US-50 AND I-80,-121.563162,38.575806,I-80 AND SR-113,-121.7702521,38.519704,I-5 AND SR-113,-121.751637,38.685321,I-5 AND SR-113,-121.751637,38.685321,I-5 AND I-80,-121.5171204,38.6248864,I-80 AND WATT AVE,-121.3831774,38.6451666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-032618,2023,04/23/2023,04/29/2023,SATELLITE CONTAINER,California,Az State Line,El Segundo,* from az line 8 - 008w - 086n - to treshill rd * from ralph rd - 086n - 010w - 015n - 210w - 605s - 105w - to nash st s/b off ramp exit 1d *,"az line Az State Line, California",I-8 and Arizona Line,-114.608218,32.698957,I-8 AND SR-86,115.569496,32.773915,I-10 AND SR-86,-116.1932279,33.7178667,I-10 AND I-15,-117.544920,34.067352,I-15 AND SR-210,-117.495885,34.136374,SR-210 AND I-605,-117.957446,34.134298,I-105 AND I-605,-118.1048384,33.9139358,I-105 AND NASH ST,-118.3874855,33.9310884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
