permitnumber,year,permitvalidfrom,permitvalidto,loaddescription,state,origin,destination,authorizedhighways,route_location_origin,route_intersection_0,route_intersection_1,route_intersection_2,route_intersection_3,route_intersection_4,route_intersection_5,route_intersection_6,route_intersection_7,route_intersection_8,route_intersection_9,route_intersection_10,route_intersection_11,route_intersection_12,route_intersection_13,route_intersection_14,route_intersection_15,route_intersection_16,route_intersection_17,route_intersection_18,route_intersection_19,route_intersection_20,route_intersection_21,route_intersection_22,route_intersection_23,route_intersection_destination
e23-109311,2024,01/01/2024,01/07/2024,EMPTY CRATE FOR SOLAR PANELS,California,San Jose,Watsonville,* from oakland rd e/b on ramp - 101s - 156w - 183n - 001n - 129e - to industrial rd exit  *,"oakland rd San Jose, California",oakland rd and US-101,US-101 and SR-156,SR-156 and SR-183,SR-183 and SR-1,SR-1 and SR-129,SR-129 and industrial rd,,,,,,,,,,,,,,,,,,,SR-129 and industrial rd Watsonville
e23-109334,2024,01/01/2024,01/07/2024,VOLVO 380E EXCAVATOR #1394692,California,Newport Beach,Woodland Hills,* from jamboree rd - 001n - to costa mesa/ rte 55 north exit (old newport blvd ) * from old newport blvd - 055n - 022w - 405n - 605n - 210w - to foothill blvd s/b off ramp exit 21 * from gould ave n/b on ramp - 210w - 118w - 027s - to oxnard st exit  *,"jamboree rd Newport Beach, California",jamboree rd and SR-1,SR-1 and costa mesa/ rte 55 north  (old newport blvd ) * from old newport blvd,costa mesa/ rte 55 north  (old newport blvd ) * from old newport blvd and SR-55,SR-55 and SR-22,SR-22 and I-405,I-405 and I-605,I-605 and SR-210,SR-210 and foothill blvd s/b off ramp  21 * from gould ave n/b on ramp,foothill blvd s/b off ramp  21 * from gould ave n/b on ramp and SR-210,SR-210 and SR-118,SR-118 and SR-27,SR-27 and oxnard st,,,,,,,,,,,,,SR-27 and oxnard st Woodland Hills
e23-109307,2024,01/01/2024,01/07/2024,CAT GENSET ENCLOSURE,California,Lakeside,National City,* from vigilante rd - 067s - 052w - 125s - 054w - 005n - to plaza blvd exit (plaza blvd e/b off ramp exit number 11b) * from 8th st w/b on ramp - 005s - to bay marina wy exit (bay marina wy w/b off ramp exit number 10) *,"vigilante rd Lakeside, California",vigilante rd and SR-67,SR-67 and SR-52,SR-52 and SR-125,SR-125 and SR-54,SR-54 and I-5,I-5 and plaza blvd  (plaza blvd e/b off ramp  number 11b) * from 8th st w/b on ramp,plaza blvd  (plaza blvd e/b off ramp  number 11b) * from 8th st w/b on ramp and I-5,I-5 and bay marina wy  (bay marina wy w/b off ramp  number 10),,,,,,,,,,,,,,,,,I-5 and bay marina wy National City
e23-109360,2024,01/01/2024,01/07/2024,TOP HANDLER (T101) BG9,California,Compton,Compton,* from central ave s/b on ramp - 091e - 710s - to long beach blvd exit (long beach blvd w/b off ramp exit number 7b) *,"central ave Compton, California",central ave and SR-91,SR-91 and I-710,I-710 and long beach blvd  (long beach blvd w/b off ramp  number 7b),,,,,,,,,,,,,,,,,,,,,,I-710 and long beach blvd Compton
e23-109284,2024,01/01/2024,01/07/2024,ULTRASONIC VESSEL,California,Az Line,Morgan Hill,* from az line 40 - 040w - 015s - 058w - 099n - 046w - 101n - to cochrane rd exit (cochrane rd w/b off ramp exit number 367) *,"az line Az Line, California",az line and I-40,I-40 and I-15,I-15 and SR-58,SR-58 and SR-99,SR-99 and SR-46,SR-46 and US-101,US-101 and cochrane rd  (cochrane rd w/b off ramp  number 367),,,,,,,,,,,,,,,,,,US-101 and cochrane rd Morgan Hill
e23-109283,2024,01/01/2024,01/07/2024,ULTRASONIC VESSEL,California,Morgan Hill,Carson,* from cochrane rd e/b on ramp - 101s - 046e - 005s - 405s - to wilmington ave exit (wilmington ave w/b off ramp exit number 33b) *,"cochrane rd Morgan Hill, California",cochrane rd and US-101,US-101 and SR-46,SR-46 and I-5,I-5 and I-405,I-405 and wilmington ave  (wilmington ave w/b off ramp  number 33b),,,,,,,,,,,,,,,,,,,,I-405 and wilmington ave Carson
e23-109294,2024,01/01/2024,01/07/2024,PIPE SPOOL,California,Long Beach,I-10 & Az,* from magnolia ave - 001n - 710n - 091e - 215n - 010e - to corn springs rd exit (corn springs rd s/b off ramp exit number 201) - detour via ramps - from corn springs rd n/b on ramp - 010e - to az line 10 exit *,"magnolia ave Long Beach, California",magnolia ave and SR-1,SR-1 and I-710,I-710 and SR-91,SR-91 and I-215,I-215 and I-10,I-10 and corn springs rd  (corn springs rd s/b off ramp  number 201),corn springs rd  (corn springs rd s/b off ramp  number 201) and detour via ramps,detour via ramps and corn springs rd n/b on ramp,corn springs rd n/b on ramp and I-10,I-10 and az line 10,,,,,,,,,,,,,,,I-10 and az line 10 I-10 & Az
e23-109247,2024,01/01/2024,01/07/2024,CNC MACHINE,California,Long Beach,Az Line,* from east i st w/b on ramp - 103n - 001s - 710n - 010e - 015n - 040e - to az line 40 exit *,"east i st Long Beach, California",east i st and SR-103,SR-103 and SR-1,SR-1 and I-710,I-710 and I-10,I-10 and I-15,I-15 and I-40,I-40 and az line 40,,,,,,,,,,,,,,,,,,I-40 and az line 40 Az Line
e23-109293,2024,01/01/2024,01/07/2024,PIPE SPOOL,California,Long Beach,I-10 & Az,* from magnolia ave - 001n - 710n - 091e - 215n - 010e - to corn springs rd exit (corn springs rd s/b off ramp exit number 201) - detour via ramps - from corn springs rd n/b on ramp - 010e - to az line 10 exit *,"magnolia ave Long Beach, California",magnolia ave and SR-1,SR-1 and I-710,I-710 and SR-91,SR-91 and I-215,I-215 and I-10,I-10 and corn springs rd  (corn springs rd s/b off ramp  number 201),corn springs rd  (corn springs rd s/b off ramp  number 201) and detour via ramps,detour via ramps and corn springs rd n/b on ramp,corn springs rd n/b on ramp and I-10,I-10 and az line 10,,,,,,,,,,,,,,,I-10 and az line 10 I-10 & Az
e23-109246,2024,01/01/2024,01/07/2024,CNC MACHINE,California,Long Beach,Az Line,* from east i st w/b on ramp - 103n - 001s - 710n - 010e - 015n - 040e - to az line 40 exit *,"east i st Long Beach, California",east i st and SR-103,SR-103 and SR-1,SR-1 and I-710,I-710 and I-10,I-10 and I-15,I-15 and I-40,I-40 and az line 40,,,,,,,,,,,,,,,,,,I-40 and az line 40 Az Line
