permitnumber,year,permitvalidfrom,permitvalidto,loaddescription,state,origin,destination,authorizedhighways,route_location_origin,route_intersection_0,route_intersection_1,route_intersection_2,route_intersection_3,route_intersection_4,route_intersection_5,route_intersection_6,route_intersection_7,route_intersection_8,route_intersection_9,route_intersection_10,route_intersection_11,route_intersection_12,route_intersection_13,route_intersection_14,route_intersection_15,route_intersection_16,route_intersection_17,route_intersection_18,route_intersection_19,route_intersection_20,route_intersection_21,route_intersection_22,route_intersection_23,route_intersection_destination
e23-000257,2023,01/03/2023,01/09/2023,TESLA BATTERY,California,Nv Line I-395N,Oakland,* from nv line 395(no-th) - 395n - 070w - 049s - 089s - 080w - 005n - to rte 113 north/yuba city exit (east st w/b off ramp exit number 538) ** from east st w/b on ramp - 005s - 113s - 080w - 880s - to 98th ave exit (98th ave e/b off ramp exit number 35) *,"nv line Nv Line I-395N, California",nv line and th),th) and US-395,US-395 and SR-70,SR-70 and SR-49,SR-49 and SR-89,SR-89 and I-80,I-80 and I-5,I-5 and SR-113,SR-113 and I-5,I-5 and SR-113,SR-113 and I-80,I-80 and I-880,I-880 and SR-98,,,,,,,,,,,,I-880 and SR-98 Oakland
e23-000270,2023,01/05/2023,01/11/2023,LIEBHERR LTM 1400   SN:072382  #500456,California,San Leandro   (10700 Bigge St),San Jose   (1960 Quito Rd),* from 98th ave e/b on ramp - 880s - to lewelling blvd exit (lewelling blvd w/b off ramp) ** from grant ave e/b on ramp - 880s - 101s - 280n - to saratoga ave exit (saratoga ave w/b off ramp) *,"98th ave San Leandro   (10700 Bigge St), California",98th ave and I-880,I-880 and lewelling blvd  (lewelling blvd w/b off ramp) ** from grant ave e/b on ramp,lewelling blvd  (lewelling blvd w/b off ramp) ** from grant ave e/b on ramp and I-880,I-880 and US-101,US-101 and I-280,I-280 and saratoga ave  (saratoga ave w/b off ramp),,,,,,,,,,,,,,,,,,,I-280 and saratoga ave San Jose 
e23-000258,2023,01/03/2023,01/09/2023,2 BED FRAMES END TO END,California,Wilmington,Az Line,* from harry bridges blvd w/b on ramp - 110n - 105e - 605n - 210e - 015n - 040e - to az line 40 exit *,"harry bridges blvd Wilmington, California",harry bridges blvd and SR-110,SR-110 and I-105,I-105 and I-605,I-605 and SR-210,SR-210 and I-15,I-15 and I-40,I-40 and az line 40,,,,,,,,,,,,,,,,,,I-40 and az line 40 Az Line
e23-000282,2023,01/03/2023,01/09/2023,EXCAVATOR,California,Oroville,Twain,* from big bend rd/pinkston rd - 070e - to twain rd exit (twain rd) *,"big bend rd Oroville, California",big bend rd and SR-70,SR-70 and twain rd  (twain rd),,,,,,,,,,,,,,,,,,,,,,,SR-70 and twain rd Twain
e23-000263,2023,01/03/2023,01/09/2023,FORKLIFT,California,Santa Fe Springs,Carson,* from telegraph rd w/b on ramp - 605s - 105w - 710s - 405n - to wilmington ave exit (wilmington ave w/b off ramp exit number 33b) *,"telegraph rd Santa Fe Springs, California",telegraph rd and I-605,I-605 and I-105,I-105 and I-710,I-710 and I-405,I-405 and wilmington ave  (wilmington ave w/b off ramp  number 33b),,,,,,,,,,,,,,,,,,,,I-405 and wilmington ave Carson
e23-000278,2023,01/03/2023,01/09/2023,CONTAINER HANDLER                          T127BP7,California,Castaic,Stockton,* from templin highway w/b on ramp - 005n - 004e - to el dorado st/center st exit (center st s/b off ramp) *,"templin highway Castaic, California",templin highway and I-5,I-5 and SR-4,SR-4 and el dorado st/center st  (center st s/b off ramp),,,,,,,,,,,,,,,,,,,,,,SR-4 and el dorado stcenter st Stockton
e23-000276,2023,01/04/2023,01/10/2023,PUMP,California,Compton,Long Beach,* - wilmington ave. oc ove rte 91 - ** - del amo bl. oc over rte 405 - ** - carson st. oc over rte 110 - ** - 228th st. oc over rte 10 - ** - figueroa st. across rte 1 - ** - anaheim way uc under rte 103 - *,"wilmington Compton, California",wilmington and,** and del amo bl. oc over rte 405,del amo bl. oc over rte 405 and **,** and carson st. oc over rte 110,carson st. oc over rte 110 and **,** and 228,228 and **,** and figueroa st. across rte 1,figueroa st. across rte 1 and **,** and anaheim way uc under rte 103,,,,,,,,,,,,,,,and anaheim way
e23-000296,2023,01/04/2023,01/10/2023,MODULAR BUILDING #14,California,Nv Ca Line 15,Newark,* from nv line 15 - 15s - 58w - to comanche dr/arvin exit (comanche dr s/b off ramp exit number 121) *panama rd across hwy 184 * from taft hwy/panama rd - 119w - 5n - 580w - 680s - 262s (mission blvd) - 880n - to mowry ave exit (mowry ave e/b off ramp) *,"nv line Nv Ca Line 15, California",nv line and I-15,I-15 and SR-58,SR-58 and comanche dr/arvin  (comanche dr s/b off ramp  number 121) *panama rd across hwy 184 * from taft hwy/panama rd,comanche dr/arvin  (comanche dr s/b off ramp  number 121) *panama rd across hwy 184 * from taft hwy/panama rd and SR-119,SR-119 and I-5,I-5 and I-580,I-580 and I-680,I-680 and SR-262,SR-262 and I-880,I-880 and mowry ave  (mowry ave e/b off ramp),,,,,,,,,,,,,,,I-880 and mowry ave Newark
e23-000264,2023,01/03/2023,01/09/2023,Cat 349 Excavator,California,Livermore,Pleasanton,* from concannon blvd - 84n - 580w - to el charro rd exit (el charro rd s/b off ramp exit 48) *,"concannon blvd Livermore, California",concannon blvd and SR-84,SR-84 and I-580,I-580 and el charro rd  (el charro rd s/b off ramp  48),,,,,,,,,,,,,,,,,,,,,,I-580 and el charro rd Pleasanton
e23-000266,2023,01/03/2023,01/09/2023,Manufactured Home,California,Riverside,Porterville,* from van buren blvd n/b on ramp - 060w - 015n - 210w - 005n - 099n - 065n - to north grand ave exit (north grand ave) *,"van buren blvd Riverside, California",van buren blvd and SR-60,SR-60 and I-15,I-15 and SR-210,SR-210 and I-5,I-5 and SR-99,SR-99 and SR-65,SR-65 and north grand ave  (north grand ave),,,,,,,,,,,,,,,,,,SR-65 and north grand ave Porterville
e23-000171,2023,01/03/2023,01/09/2023,2 HAY BALER E/E & MISC LEGAL ITEMS   #1300878,California,Wilmington,Nevada State Line,* from anaheim st w/b on ramp - 110n - 105e - 605n - 210e - 015n - to nv line 15 exit *,"anaheim st Wilmington, California",anaheim st and SR-110,SR-110 and I-105,I-105 and I-605,I-605 and SR-210,SR-210 and I-15,I-15 and nv line 15,,,,,,,,,,,,,,,,,,,I-15 and nv line 15 Nevada State Line
e23-000268,2023,01/04/2023,01/10/2023,RT CRANE,California,San Dimas,Glendora,* from arrow highway w/b on ramp - 57n - 210w - to grand ave exit (grand ave n/b off ramp) *,"arrow highway San Dimas, California",arrow highway and SR-57,SR-57 and SR-210,SR-210 and grand ave  (grand ave n/b off ramp),,,,,,,,,,,,,,,,,,,,,,SR-210 and grand ave Glendora
e23-000275,2023,01/04/2023,01/10/2023,PUMP,California,Compton,Long Beach,* - wilmington ave. oc ove rte 91 - ** - del amo bl. oc over rte 405 - ** - carson st. oc over rte 110 - ** - 228th st. oc over rte 10 - ** - figueroa st. across rte 1 - ** - anaheim way uc under rte 103 - *,"wilmington Compton, California",wilmington and,** and del amo bl. oc over rte 405,del amo bl. oc over rte 405 and **,** and carson st. oc over rte 110,carson st. oc over rte 110 and **,** and 228,228 and **,** and figueroa st. across rte 1,figueroa st. across rte 1 and **,** and anaheim way uc under rte 103,,,,,,,,,,,,,,,and anaheim way
e23-000269,2023,01/05/2023,01/11/2023,LIEBHERR LTM 1400   SN:072382  #500456,California,San Jose   (1960 Quito Rd),San Leandro   (10700 Bigge St),* from saratoga ave e/b on ramp - 280s - 101n - 880n - to hesperian blvd exit (hesperian blvd e/b off ramp) ** from lewelling blvd w/b on ramp - 880n - to 98th ave exit (98th ave w/b off ramp exit number 35) *,"saratoga ave San Jose   (1960 Quito Rd), California",saratoga ave and I-280,I-280 and US-101,US-101 and I-880,I-880 and hesperian blvd  (hesperian blvd e/b off ramp) ** from lewelling blvd w/b on ramp,hesperian blvd  (hesperian blvd e/b off ramp) ** from lewelling blvd w/b on ramp and I-880,I-880 and SR-98,,,,,,,,,,,,,,,,,,,I-880 and SR-98 San Leandro 
e23-000274,2023,01/03/2023,01/09/2023,1 - OFF ROAD TIRE,California,Az Line 8,Brawley,* from az line 8 - 8w - 111n - 78e - to gfoc mine access rd exit (gfoc mine access rd) *,"az line Az Line 8, California",az line and I-8,I-8 and SR-111,SR-111 and SR-78,SR-78 and gfoc mine access rd  (gfoc mine access rd),,,,,,,,,,,,,,,,,,,,,SR-78 and gfoc mine access rd Brawley
e23-000265,2023,01/04/2023,01/10/2023,ABI Drill Machine,California,San Jose,Redwood City,* from old bayshore highway w/b on ramp - 101n - to woodside rd / seaport blvd / rte 84 west exit (seaport blvd e/b off ramp exit 408) * maple st oc over hwy 101 *,"old bayshore highway San Jose, California",old bayshore highway and US-101,US-101 and woodside rd / seaport blvd / rte 84 west  (seaport blvd e/b off ramp  408) * maple st oc over hwy 101,,,,,,,,,,,,,,,,,,,,,,,US-101 and woodside rd seaport blvd rte 84 west * maple st oc over hwy 101 Redwood City
e23-000271,2023,01/03/2023,01/09/2023,13 - OFF ROAD TIRES ( STKD & E/E),California,Az Line 10,Fontana,* from az line 10 - 10w - to cherry ave exit (cherry ave s/b off ramp) *,"az line Az Line 10, California",az line and I-10,I-10 and cherry ave  (cherry ave s/b off ramp),,,,,,,,,,,,,,,,,,,,,,,I-10 and cherry ave Fontana
e23-000272,2023,01/03/2023,01/09/2023,CONTAINER STACKER,California,Whittier,Az Line,* from santa fe springs rd - 072n - 605n - 210e - 015n - 040e - to az line 40 exit *,"santa fe springs rd Whittier, California",santa fe springs rd and SR-72,SR-72 and I-605,I-605 and SR-210,SR-210 and I-15,I-15 and I-40,I-40 and az line 40,,,,,,,,,,,,,,,,,,,I-40 and az line 40 Az Line
e23-000280,2023,01/04/2023,01/10/2023,550-2 GROVE GMK 7450 TRK CRANE (WCS# 1301153),California,Corona,Oro Grande,* from hidden valley pkwy e/b on ramp - 015n - to rte 18  apple valley exit ('d' st w/b off ramp exit number 153a) *,"hidden valley pkwy Corona, California",hidden valley pkwy and I-15,I-15 and SR-18,,,,,,,,,,,,,,,,,,,,,,,I-15 and SR-18 Oro Grande
e23-000273,2023,01/03/2023,01/09/2023,UNLADEN,California,Nv Line,Whittier,* from nv line 178 - 178w - 127s - 015s - 210w - 605s - 072s - to santa fe springs rd exit (santa fe springs rd) *,"nv line Nv Line, California",nv line and SR-178,SR-178 and SR-127,SR-127 and I-15,I-15 and SR-210,SR-210 and I-605,I-605 and SR-72,SR-72 and santa fe springs rd  (santa fe springs rd),,,,,,,,,,,,,,,,,,SR-72 and santa fe springs rd Whittier
e23-000267,2023,01/04/2023,01/10/2023,650 Excavator,California,Santa Clara,San Francisco,* from stevens creek blvd w/b on ramp - 280n - 380e - 101n - to grand ave/so. san francisco exit (e. grand ave e/b off ramp exit 425a) * from oyster point blvd w/b on ramp - 101n - to bayshore blvd/cow palace exit (bayshore blvd w/b off ramp) * third st oc over hwy 101 *,"stevens creek blvd Santa Clara, California",stevens creek blvd and I-280,I-280 and I-380,I-380 and US-101,US-101 and grand ave/so. san francisco  (e. grand ave e/b off ramp  425a) * from oyster point blvd w/b on ramp,grand ave/so. san francisco  (e. grand ave e/b off ramp  425a) * from oyster point blvd w/b on ramp and US-101,US-101 and bayshore blvd/cow palace  (bayshore blvd w/b off ramp) * third st oc over hwy 101,,,,,,,,,,,,,,,,,,,US-101 and bayshore blvdcow palace * third st oc over hwy 101 San Francisco
e23-000184,2023,01/03/2023,01/09/2023,AC HAYWARD,California,Otay Mesa,3300 Buch Road  Pleasanton,* from siempre viva rd n/b on ramp - 905w - 805n - 015n - 210w - 005n - 580w - to santa rita rd exit (santa rita rd s/b off ramp exit number 47) *,"siempre viva rd Otay Mesa, California",siempre viva rd and SR-905,SR-905 and I-805,I-805 and I-15,I-15 and SR-210,SR-210 and I-5,I-5 and I-580,I-580 and santa rita rd  (santa rita rd s/b off ramp  number 47),,,,,,,,,,,,,,,,,,I-580 and santa rita rd 3300 Buch Road Pleasanton
e23-000277,2023,01/06/2023,01/12/2023,Washer;Eltron;800,California,Az Line,"2485 Ash St, Vista, Ca",* from az line 8 - 008w - 015n - 078w - to sycamore ave exit (sycamore ave s/b off ramp) *,"az line Az Line, California",az line and I-8,I-8 and I-15,I-15 and SR-78,SR-78 and sycamore ave  (sycamore ave s/b off ramp),,,,,,,,,,,,,,,,,,,,,"SR-78 and sycamore ave 2485 Ash St, Vista, Ca"
e23-000281,2023,01/04/2023,01/10/2023,VOLVO 480 EXCAVATOR,California,Santa Fe Springs,Anaheim,* from slauson ave e/b on ramp - 605s - 405s - 22e - 57n - 91e - to tustin ave exit (tustin ave n/b off ramp) *,"slauson ave Santa Fe Springs, California",slauson ave and I-605,I-605 and I-405,I-405 and SR-22,SR-22 and SR-57,SR-57 and SR-91,SR-91 and tustin ave  (tustin ave n/b off ramp),,,,,,,,,,,,,,,,,,,SR-91 and tustin ave Anaheim
e23-000279,2023,01/03/2023,01/09/2023,MCCLOSKEY I44R CRUSHER,California,Downey,Riverside,* from lakewood blvd s/b on ramp - 105e - 605n - 60e - to rubidoux blvd exit (rubidoux blvd n/b off ramp) *,"lakewood blvd Downey, California",lakewood blvd and I-105,I-105 and I-605,I-605 and SR-60,SR-60 and rubidoux blvd  (rubidoux blvd n/b off ramp),,,,,,,,,,,,,,,,,,,,,SR-60 and rubidoux blvd Riverside
e23-000283,2023,01/03/2023,01/09/2023,SCRAPPER #1301129,California,Auburn,Oregon,* from placer hills rd s/b on ramp - 080w - 005n - to or line 5 exit *,"placer hills rd Auburn, California",placer hills rd and I-80,I-80 and I-5,I-5 and or line 5,,,,,,,,,,,,,,,,,,,,,,I-5 and or line 5 Oregon
e23-000322,2023,01/03/2023,01/09/2023,GROVE 750 R/T CRANE,California,Gilroy,Fontana,* from monterey st w/b on ramp - 101n - 680n - 580e - 005s - to templin highway exit (templin highway w/b off ramp exit number 183) *,"monterey st Gilroy, California",monterey st and US-101,US-101 and I-680,I-680 and I-580,I-580 and I-5,I-5 and templin highway  (templin highway w/b off ramp  number 183),,,,,,,,,,,,,,,,,,,,I-5 and templin highway Fontana
e23-000284,2023,01/03/2023,01/09/2023,RICE HARVESTER,California,Marysville,Richvale,* from lower honcut rd - 070e - to east gridley rd exit (east gridley rd/stimpson ln) ** from east gridley rd/magnolia st - 099n - to richvale exit (richvale hwy) *,"lower honcut rd Marysville, California",lower honcut rd and SR-70,SR-70 and east gridley rd  (east gridley rd/stimpson ln) ** from east gridley rd/magnolia st,east gridley rd  (east gridley rd/stimpson ln) ** from east gridley rd/magnolia st and SR-99,SR-99 and richvale  (richvale hwy),,,,,,,,,,,,,,,,,,,,,SR-99 and richvale Richvale
e23-000291,2023,01/05/2023,01/11/2023,MANUFACTURED HOUSING SER# 6545,California,Tulare,San Luis Obispo,* kansas ave across 43 * from kansas ave - 041s - 046w - 101s - to madonna rd exit (madonna rd e/b off ramp exit number 201) *,"kansas ave Tulare, California",kansas ave and SR-41,SR-41 and SR-46,SR-46 and US-101,US-101 and madonna rd  (madonna rd e/b off ramp  number 201),,,,,,,,,,,,,,,,,,,,,US-101 and madonna rd San Luis Obispo
e23-000286,2023,01/04/2023,01/10/2023,CAT 745 HAUL TRUCK,California,Stockton,Stockton,* from holt brothers tractor - 004e - 005n - 004e - 099s - to french camp exit (french camp rd e/b off ramp exit number 246) *,"holt brothers tractor Stockton, California",holt brothers tractor and SR-4,SR-4 and I-5,I-5 and SR-4,SR-4 and SR-99,SR-99 and french camp  (french camp rd e/b off ramp  number 246),,,,,,,,,,,,,,,,,,,,SR-99 and french camp Stockton
e23-000294,2023,01/04/2023,01/10/2023,RT CRANE,California,Bloomington,Buttonwillow,* from sierra ave n/b on ramp - 10w - 15n - 210w - to foothill blvd s/b off ramp exit 21 * from gould ave n/b on ramp - 210w - 5n - to templin highway e/b off ramp exit 183 -detour via ramps- from templin highway w/b on ramp - 5n - to rte 58  - buttonwillow/mckittrick exit (tracy ave off ramp exit 257) * from tracy ave - 58w - 33n - to cymric rd exit (cymric rd/co rd 214a) *,"sierra ave Bloomington, California",sierra ave and I-10,I-10 and I-15,I-15 and SR-210,SR-210 and foothill blvd s/b off ramp  21 * from gould ave n/b on ramp,foothill blvd s/b off ramp  21 * from gould ave n/b on ramp and SR-210,SR-210 and I-5,I-5 and templin highway e/b off ramp  183,templin highway e/b off ramp  183 and detour via ramps,detour via ramps and templin highway w/b on ramp,templin highway w/b on ramp and I-5,I-5 and SR-58,SR-58 and buttonwillow/mckittrick  (tracy ave off ramp  257) * from tracy ave,buttonwillow/mckittrick  (tracy ave off ramp  257) * from tracy ave and SR-58,SR-58 and SR-33,SR-33 and cymric rd  (cymric rd/co rd 214a),,,,,,,,,,SR-33 and cymric rd Buttonwillow
e23-000289,2023,01/04/2023,01/10/2023,MAC / CONCORD 3 AX CONCRETE PUMP,California,Oxnard,Malibu,"* from rice ave - 001s - to deer creek rd exit (deer creek rd) *

travel allowed weekdays only","rice ave Oxnard, California",rice ave and SR-1,"SR-1 and deer creek rd  (deer creek rd) *

travel allowed weekdays only",,,,,,,,,,,,,,,,,,,,,,,SR-1 and deer creek rd * travel allowed weekdays only Malibu
e23-000287,2023,01/06/2023,01/12/2023,550-2 GROVE GMK 7450 TRK CRANE (WCS# 1301153),California,Oro Grande,Corona,* from `d` st e/b on ramp - 015s - to hidden valley pkwy exit (hidden valley pkwy w/b off ramp) *,"`d` Oro Grande, California",d and I-15,I-15 and hidden valley pkwy  (hidden valley pkwy w/b off ramp),,,,,,,,,,,,,,,,,,,,,,,I-15 and hidden valley pkwy Corona
e23-000288,2023,01/04/2023,01/10/2023,MAC / CONCORD 3 AX CONCRETE PUMP,California,Malibu,Oxnard,"* from deer creek rd - 001n - to rice ave exit (rice ave) *

travel allowed weekdays only","deer creek rd Malibu, California",deer creek rd and SR-1,"SR-1 and rice ave  (rice ave) *

travel allowed weekdays only",,,,,,,,,,,,,,,,,,,,,,,SR-1 and rice ave * travel allowed weekdays only Oxnard
e23-000302,2023,01/03/2023,01/09/2023,TADANO 750 CRANE,California,Glendora,Az State Line,* from lone hill ave n/b on ramp - 210e - 215s - 010e - to az line 10 exit *,"lone hill ave Glendora, California",lone hill ave and SR-210,SR-210 and I-215,I-215 and I-10,I-10 and az line 10,,,,,,,,,,,,,,,,,,,,,I-10 and az line 10 Az State Line
e23-000293,2023,01/03/2023,01/09/2023,VOLVO 150 WHEEL LOADER,California,Oregon State Line,Newcastle,* from or line 5 - 005s - 080e - to newcastle rd exit (newcastle rd s/b off ramp exit number 115) *,"or line Oregon State Line, California",or line and I-5,I-5 and I-80,I-80 and newcastle rd  (newcastle rd s/b off ramp  number 115),,,,,,,,,,,,,,,,,,,,,,I-80 and newcastle rd Newcastle
e23-000292,2023,01/04/2023,01/10/2023,PRE FAB HOUSE WALLS (15 in one stack),California,Or Line At I-5,"550 Community Hall Ln, St Helena, Ca 94574",* from or line 5 - 005s - 505s - 080w - 012w - 029n - to zinfandel ln exit (zinfandel ln) *,"or line Or Line At I-5, California",or line and I-5,I-5 and I-505,I-505 and I-80,I-80 and SR-12,SR-12 and SR-29,SR-29 and zinfandel ln  (zinfandel ln),,,,,,,,,,,,,,,,,,,"SR-29 and zinfandel ln 550 Community Hall Ln, St Helena, Ca 94574"
e23-001237,2023,01/09/2023,01/15/2023,DRILL RIG - UNIT 188,California,Kern County,Bakersfield,* from arnold ave - 033s - to midway rd exit (midway rd/co rd p268d) * from midway rd - 119e - 043n - to rosedale hwy/sidding rd exit (rosedale hwy/sidding rd) *,"arnold ave Kern County, California",arnold ave and SR-33,SR-33 and midway rd  (midway rd/co rd p268d) * from midway rd,midway rd  (midway rd/co rd p268d) * from midway rd and SR-119,SR-119 and SR-43,SR-43 and rosedale hwy/sidding rd  (rosedale hwy/sidding rd),,,,,,,,,,,,,,,,,,,,SR-43 and rosedale hwysidding rd Bakersfield
e23-000290,2023,01/03/2023,01/09/2023,BOOM INSERT,California,Or Line Hwy 5,El Segundo,* from or line 5 - 005s - 405s - to el segundo blvd exit (el segundo blvd w/b off ramp exit number 44) *,"or line Or Line Hwy 5, California",or line Or Line Hwy and I-5,I-5 and I-405,I-405 and el segundo blvd  (el segundo blvd w/b off ramp  number 44),,,,,,,,,,,,,,,,,,,,,,I-405 and el segundo blvd El Segundo
e23-000201,2023,01/03/2023,01/09/2023,336 EXCAVATOR,California,Exeter,North Highlands,* from rd 196 - 198w - 005n - to el dorado st/south el dorado st e/b offramp #467a * el dorado st under 4 * fremont st under 5 * from pershing ave e/b on ramp - 005n - 050e - to watt ave exit (watt ave n/b off ramp exit number 11) *watt ave over 80,"rd Exeter, California",rd and SR-198,SR-198 and I-5,I-5 and el dorado st/south el dorado st e/b offramp #467a * el dorado st under 4 * fremont st under 5 * from pershing ave e/b on ramp,el dorado st/south el dorado st e/b offramp #467a * el dorado st under 4 * fremont st under 5 * from pershing ave e/b on ramp and I-5,I-5 and US-50,US-50 and watt ave  (watt ave n/b off ramp  number 11) *watt ave over 80,,,,,,,,,,,,,,,,,,,US-50 and watt ave *watt ave over 80 North Highlands
e23-000330,2023,01/04/2023,01/10/2023,PRE FAB HOUSE WALLS (8 in one stack),California,"550 Community Hall Ln, St Helena, Ca 94574","1728 Cottonwood St, Solvang, Ca 93463",* from zinfandel ln - 029s - 012e - 080e - 005s - 041s - 046w - 101s - 154e - to foxen canyon rd exit (foxen canyon rd) *,"zinfandel ln 550 Community Hall Ln, St Helena, Ca 94574, California",zinfandel ln and SR-29,SR-29 and SR-12,SR-12 and I-80,I-80 and I-5,I-5 and SR-41,SR-41 and SR-46,SR-46 and US-101,US-101 and SR-154,SR-154 and foxen canyon rd  (foxen canyon rd),,,,,,,,,,,,,,,,"SR-154 and foxen canyon rd 1728 Cottonwood St, Solvang, Ca 93463"
e23-000305,2023,01/04/2023,01/10/2023,VOLVO EC 480 EXCAVATOR,California,Long Beach,San Leandro,* from seaside fwy - 710n - 001s - 022e(7th st) - 605n - 210w - to foothill blvd exit (foothill blvd s/b off ramp exit number 21) ** from gould ave n/b on ramp - 210w - 005n - to templin highway exit (templin highway e/b off ramp exit number 183) - detour via ramps- from templin highway w/b on ramp - 005n - 580w - 238n - 880n - to marina blvd exit (marina blvd w/b off ramp exit number 33b) *,"seaside fwy Long Beach, California",seaside fwy and I-710,I-710 and SR-1,SR-1 and SR-22,SR-22 and I-605,I-605 and SR-210,SR-210 and foothill blvd  (foothill blvd s/b off ramp  number 21) ** from gould ave n/b on ramp,foothill blvd  (foothill blvd s/b off ramp  number 21) ** from gould ave n/b on ramp and SR-210,SR-210 and I-5,I-5 and templin highway  (templin highway e/b off ramp  number 183),templin highway  (templin highway e/b off ramp  number 183) and detour via ramps,detour via ramps and templin highway w/b on ramp,templin highway w/b on ramp and I-5,I-5 and I-580,I-580 and SR-238,SR-238 and I-880,I-880 and marina blvd  (marina blvd w/b off ramp  number 33b),,,,,,,,,I-880 and marina blvd San Leandro
e23-001240,2023,01/09/2023,01/15/2023,HPU - UNIT 189,California,Kern County,Bakersfield,* from arnold ave - 033s - to midway rd exit (midway rd/co rd p268d) ** from midway rd - 119e - 043n - to rosedale hwy/sidding rd exit (rosedale hwy/sidding rd) *,"arnold ave Kern County, California",arnold ave and SR-33,SR-33 and midway rd  (midway rd/co rd p268d) ** from midway rd,midway rd  (midway rd/co rd p268d) ** from midway rd and SR-119,SR-119 and SR-43,SR-43 and rosedale hwy/sidding rd  (rosedale hwy/sidding rd),,,,,,,,,,,,,,,,,,,,SR-43 and rosedale hwysidding rd Bakersfield
e23-000295,2023,01/04/2023,01/10/2023,55T RT CRANE,California,Torrance,Bloomington,* from 190th st e/b on ramp - 405s - 110n - 105e - 605n - 60e - 15n - 10e - to cedar ave s/b off ramp *,"190th st Torrance, California",190th st and I-405,I-405 and SR-110,SR-110 and I-105,I-105 and I-605,I-605 and SR-60,SR-60 and I-15,I-15 and I-10,I-10 and cedar ave s/b off ramp,,,,,,,,,,,,,,,,,I-10 and cedar ave sb
e23-001244,2023,01/09/2023,01/15/2023,MUD PUMP 1 - UNIT 192,California,Kern County,Bakersfield,* from arnold ave - 033s - to midway rd exit (midway rd/co rd p268d) * from midway rd - 119e - 043n - to rosedale hwy/sidding rd exit (rosedale hwy/sidding rd) *,"arnold ave Kern County, California",arnold ave and SR-33,SR-33 and midway rd  (midway rd/co rd p268d) * from midway rd,midway rd  (midway rd/co rd p268d) * from midway rd and SR-119,SR-119 and SR-43,SR-43 and rosedale hwy/sidding rd  (rosedale hwy/sidding rd),,,,,,,,,,,,,,,,,,,,SR-43 and rosedale hwysidding rd Bakersfield
e23-000327,2023,01/03/2023,01/09/2023,CAT D-8T  DOZER,California,Stockton,Tracy,* from wilson way s/b on ramp - 004e - 099s - 120w - 005s - 205w - to macarthur dr exit (macarthur dr s/b off ramp exit number 9) *,"wilson way Stockton, California",wilson way and SR-4,SR-4 and SR-99,SR-99 and SR-120,SR-120 and I-5,I-5 and I-205,I-205 and macarthur dr  (macarthur dr s/b off ramp  number 9),,,,,,,,,,,,,,,,,,,I-205 and macarthur dr Tracy
e23-000297,2023,01/04/2023,01/10/2023,55T RT CRANE,California,Los Angeles,Torrance,* from california st - 105e - 405s - to crenshaw blvd exit (crenshaw blvd w/b off ramp exit 39) *,"california st Los Angeles, California",st and I-105,I-105 and I-405,I-405 and crenshaw blvd  (crenshaw blvd w/b off ramp  39),,,,,,,,,,,,,,,,,,,,,,I-405 and crenshaw blvd Torrance
e23-001246,2023,01/09/2023,01/15/2023,GENERATOR 1 - UNIT 193,California,Kern County,Bakersfield,* from arnold ave - 033s - to midway rd exit (midway rd/co rd p268d) * from midway rd - 119e - 043n - to rosedale hwy/sidding rd exit (rosedale hwy/sidding rd) *,"arnold ave Kern County, California",arnold ave and SR-33,SR-33 and midway rd  (midway rd/co rd p268d) * from midway rd,midway rd  (midway rd/co rd p268d) * from midway rd and SR-119,SR-119 and SR-43,SR-43 and rosedale hwy/sidding rd  (rosedale hwy/sidding rd),,,,,,,,,,,,,,,,,,,,SR-43 and rosedale hwysidding rd Bakersfield
e23-001248,2023,01/09/2023,01/15/2023,GENERATOR 2 - UNIT 194,California,Kern County,Bakersfield,* from arnold ave - 033s - to midway rd exit (midway rd/co rd p268d) * from midway rd - 119e - 043n - to rosedale hwy/sidding rd exit (rosedale hwy/sidding rd) *,"arnold ave Kern County, California",arnold ave and SR-33,SR-33 and midway rd  (midway rd/co rd p268d) * from midway rd,midway rd  (midway rd/co rd p268d) * from midway rd and SR-119,SR-119 and SR-43,SR-43 and rosedale hwy/sidding rd  (rosedale hwy/sidding rd),,,,,,,,,,,,,,,,,,,,SR-43 and rosedale hwysidding rd Bakersfield
e23-001250,2023,01/09/2023,01/15/2023,DOG HOUSE - UNIT 195,California,Kern County,Bakersfield,* from arnold ave - 033s - to midway rd exit (midway rd/co rd p268d) * from midway rd - 119e - 043n - to rosedale hwy/sidding rd exit (rosedale hwy/sidding rd) *,"arnold ave Kern County, California",arnold ave and SR-33,SR-33 and midway rd  (midway rd/co rd p268d) * from midway rd,midway rd  (midway rd/co rd p268d) * from midway rd and SR-119,SR-119 and SR-43,SR-43 and rosedale hwy/sidding rd  (rosedale hwy/sidding rd),,,,,,,,,,,,,,,,,,,,SR-43 and rosedale hwysidding rd Bakersfield
