dataperiods,modeoftravel,zoneid,zonename,linezonelength(miles),zoneispass-through,zonedirection(degrees),zoneisbi-direction,daytype,daypart,averagedailysegmenttraffic(stlvolume),avgsegmentspeed(mph),avgsegmenttraveltime(sec),freeflowspeed(mph),freeflowfactor,vehiclemilesoftravel(stlvolume),vehiclehoursofdelay(stlvolume),5thspeedpercentile,10thspeedpercentile,15thspeedpercentile,20thspeedpercentile,25thspeedpercentile,30thspeedpercentile,35thspeedpercentile,40thspeedpercentile,45thspeedpercentile,50thspeedpercentile,55thspeedpercentile,60thspeedpercentile,65thspeedpercentile,70thspeedpercentile,75thspeedpercentile,80thspeedpercentile,85thspeedpercentile,90thspeedpercentile,95thspeedpercentile
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 1292255,0.775,yes,195,no,1: Weekday (M-Th),0: All Day (12am-12am),100835,50,55,74.608,0.676,78153.3,502.6,12,17,22,26,30,35,40,47,52,56,59,62,65,67,69,71,74,76,79
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 1292255,0.775,yes,195,no,2: Weekend (Sa-Su),0: All Day (12am-12am),103202,64,44,74.608,0.854,79988.4,183.18,24,33,44,56,60,62,65,66,68,69,70,71,73,74,75,76,78,79,82
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 1292266,0.3,yes,199,no,0: All Days (M-Su),0: All Day (12am-12am),87762,52,21,73.743,0.7,26366.8,152.88,15,20,24,29,33,38,43,48,53,56,59,62,65,67,70,72,74,76,80
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 1292266,0.3,yes,199,no,1: Weekday (M-Th),0: All Day (12am-12am),85701,47,23,73.743,0.644,25747.6,193.22,13,17,21,25,28,32,37,41,45,50,53,57,60,63,66,69,72,75,78
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 1292266,0.3,yes,199,no,2: Weekend (Sa-Su),0: All Day (12am-12am),87277,60,18,73.743,0.818,26221.2,79.02,23,31,38,45,51,56,59,61,64,66,67,69,71,72,73,75,77,79,81
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 1292558,0.424,yes,10,no,0: All Days (M-Su),0: All Day (12am-12am),94590,49,31,70.924,0.69,40100.0,253.71,11,15,18,22,27,36,45,50,54,56,58,61,62,64,66,68,70,73,76
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 1292558,0.424,yes,10,no,1: Weekday (M-Th),0: All Day (12am-12am),90979,44,35,70.924,0.618,38569.3,336.59,10,13,15,18,21,25,29,36,44,49,53,56,58,61,63,66,68,71,75
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 1292558,0.424,yes,10,no,2: Weekend (Sa-Su),0: All Day (12am-12am),98117,59,26,70.924,0.83,41594.9,120.11,17,28,47,52,55,57,59,60,62,63,64,66,67,68,70,71,73,75,78
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 1292560,0.349,yes,358,no,0: All Days (M-Su),0: All Day (12am-12am),110626,63,20,71.218,0.886,38588.9,70.05,48,52,54,56,57,59,60,61,62,64,65,66,67,68,70,71,73,75,77
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 1292560,0.349,yes,358,no,1: Weekday (M-Th),0: All Day (12am-12am),111714,62,20,71.218,0.869,38968.4,82.49,47,50,53,55,56,58,59,60,61,62,64,65,66,67,69,70,72,74,77
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 1292560,0.349,yes,358,no,2: Weekend (Sa-Su),0: All Day (12am-12am),102931,66,19,71.218,0.923,35904.6,42.06,53,55,57,59,60,62,63,64,65,66,67,68,69,70,71,73,74,76,79
