location,traditional_ahead_mean,traditional_behind_mean,traditional_aadt,non_trad_ahead_mean,non_trad_behind_mean,non_trad_aadt,stl_ahead_rows,stl_behind_rows,listed_ahead_segments,listed_behind_segments,present_ahead_segments,present_behind_segments,ahead_zones,behind_zones,missing_ahead_zones,missing_behind_zones,daytype,daytype_expected,daytype_used,daypart_used,modeoftravel_used,objectids,n_objectids,n_found_in_tc,tce_percent
JCT. RTE. 113,16800.0,16300.0,16550.0,,,21088.5,2,2,2,2,2,2,CA 99 / 70681|CA 99 / 19988633,CA 99 / 20383725|CA 99 / 1305890,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7809,1,1,27.42296072507553
JCT. RTE. 162 EAST,12300.0,12100.0,12200.0,,,13023.0,1,1,1,1,1,1,CA 99 / 1302938,CA 99;CA 162 / 22187531,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7851,1,1,6.745901639344262
JCT. RTE. 162 WEST,12100.0,11800.0,11950.0,,,13728.5,1,1,1,1,1,1,CA 99;CA 162 / 22187531,CA 99 / 70189,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7849,1,1,14.882845188284518
JCT. RTE. 70 NORTH,17600.0,36000.0,26800.0,,,21025.0,2,0,2,2,2,0,CA 99 / 15283380|CA 99 / 10474764,CA 99 / 190751|CA 99 / 190748,,CA 99 / 190751|CA 99 / 190748,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7801,1,1,-21.54850746268657
KEEFER ROAD,15700.0,15300.0,15500.0,,,13333.5,1,1,1,1,1,1,CA 99 / 185159,CA 99 / 185106,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7877,1,1,-13.977419354838709
LAGUNA BOULEVARD/ BOND ROAD,134000.0,112000.0,123000.0,,,119341.0,2,2,2,2,2,2,South Sacramento Freeway / 188301|South Sacramento Freeway / 188302,South Sacramento Freeway / 188510|South Sacramento Freeway / 1302576,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7765,1,1,-2.9747967479674795
"LIVE OAK, PENNINGTON ROAD",19700.0,17300.0,18500.0,,,17180.0,2,2,2,2,2,2,Live Oak Boulevard / 185055|Live Oak Boulevard / 185052,Live Oak Boulevard / 185044|Live Oak Boulevard / 4270255,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7833,1,1,-7.135135135135135
NEAL HIGHWAY,24000.0,24000.0,24000.0,,,31788.0,2,2,2,2,2,2,CA 99 / 185597|CA 99 / 185596,CA 99 / 185591|CA 99 / 185590,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7859,1,1,32.45
NELSON SHIPPEE ROAD,11100.0,13400.0,12250.0,,,12490.0,1,1,1,1,1,1,CA 99 / 712588,CA 99 / 1302938,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7853,1,1,1.9591836734693877
PENTZ ROAD,21100.0,19400.0,20250.0,,,30309.5,2,2,2,2,2,2,CA 99 / 185591|CA 99 / 185590,CA 99 / 185577|CA 99 / 70538,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7857,1,1,49.67654320987654
