HQ Id,District/LOS,CO,RTE,Prefi1,BPM,Prefi1,EPM,Zone,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments", District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score
140,11,SD,94,,8,,9,SoCst-3,FY23/Q3,x,,,,,x,,,,,100,X,,,,,,X,,,X,75,88
141,11,SD,94,,9,,10,SoCst-3,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,11,SD,125,,12,,13,SoCst-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
145,11,SD,125,,13,,14,SoCst-4,FY23/Q3,x,,,,,,x,,,,75,X,,,,,X,,,,,100,88
147,11,SD,125,,16,,17,SoCst-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
148,11,SD,125,,17,,18,SoCst-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
149,11,SD,125,,18,,19,SoCst-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,11,SD,163,,0,,1,SoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
151,11,SD,163,,1,,2,SoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
152,11,SD,163,,2,,3,SoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
153,11,SD,163,,3,,4,SoCst-5,FY23/Q3,,,x,,,x,,,,,50,,,X,,X,,X,,,X,25,38
154,11,SD,163,,4,,5,SoCst-5,FY23/Q3,,,x,,,,x,,,,25,,X,,,,,X,,,X,50,38
155,11,SD,163,,5,,6,SoCst-5,FY23/Q3,x,,,,,x,,,,,100,,X,,,,X,,,,,75,88
156,11,SD,163,,6,,7,SoCst-5,FY23/Q3,,x,,,,x,,,,,75,,X,,,,X,,,,,75,75
157,11,SD,163,,7,,8,SoCst-5,FY23/Q3,,x,,,,x,,,,,75,,X,,,,X,,,,,75,75
158,11,SD,163,,8,,9,SoCst-5,FY23/Q3,,x,,,,x,,,,,75,,X,,,,X,,,,,75,75
159,11,SD,163,,9,,10,SoCst-5,FY23/Q3,,,x,,,,x,,,,25,,,x,,,,X,,,,25,25
