,ID,DIST,CO,RTE,PFX,BEGPM,PFX.1,ENDPM,Length,HG,MAINT_DIST,DIST_RGN,BUDGET ZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",Average LOS score
16,16.0,6.0,FRE,41.0,R,23.0,R,24.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,,x,,,,x,,,,25.0
17,17.0,6.0,FRE,41.0,R,24.0,R,25.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,,x,,,,50.0
18,18.0,6.0,FRE,41.0,R,25.0,R,26.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,,x,,,,50.0
19,19.0,6.0,FRE,41.0,R,26.0,R,27.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0
20,22.0,6.0,FRE,41.0,R,29.0,R,30.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,,x,,,,75.0
21,23.0,6.0,FRE,41.0,R,30.0,R,31.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,,x,,,,75.0
22,24.0,6.0,FRE,41.0,R,31.0,R,32.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0
23,25.0,6.0,FRE,41.0,R,32.0,,33.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0
25,26.0,6.0,FRE,43.0,,0.0,,1.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0
26,28.0,6.0,FRE,43.0,,2.0,,3.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0
27,29.0,6.0,FRE,43.0,,3.0,,4.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0
28,30.0,6.0,FRE,43.0,,4.0,,5.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0
29,31.0,6.0,FRE,43.0,,5.0,,6.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0
30,32.0,6.0,FRE,43.0,,6.0,,7.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0
31,33.0,6.0,FRE,43.0,,7.0,,8.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0
32,34.0,6.0,FRE,43.0,,8.0,,9.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0
34,35.0,6.0,FRE,99.0,R,0.0,R,1.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,,x,,,,x,,,,25.0
35,36.0,6.0,FRE,99.0,R,1.0,R,2.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,,x,,,,x,,,,25.0
36,37.0,6.0,FRE,99.0,R,2.0,R,3.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,,x,,,,x,,,,25.0
37,38.0,6.0,FRE,99.0,R,3.0,R,4.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,,x,,,,x,,,,25.0
38,39.0,6.0,FRE,99.0,R,4.0,R,5.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,,x,,,,x,,,,25.0
39,40.0,6.0,FRE,99.0,R,5.0,R,6.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,,x,,,,x,,,,25.0
40,41.0,6.0,FRE,99.0,,6.0,,7.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,x,,,,,75.0
41,47.0,6.0,FRE,99.0,,12.0,,13.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,x,,,,,75.0
42,48.0,6.0,FRE,99.0,,13.0,,14.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,x,,,,,75.0
43,49.0,6.0,FRE,99.0,,14.0,,15.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,,x,,,,50.0
44,50.0,6.0,FRE,99.0,,15.0,,16.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,x,,,,,75.0
45,51.0,6.0,FRE,99.0,,16.0,,17.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,,x,,,,50.0
46,52.0,6.0,FRE,99.0,,17.0,,18.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,,x,,,,x,,,,25.0
47,53.0,6.0,FRE,99.0,,18.0,,19.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,,x,,,,50.0
48,54.0,6.0,FRE,99.0,,19.0,,20.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,,,,,,50.0
49,55.0,6.0,FRE,99.0,,20.0,,21.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,,,,,,50.0
50,56.0,6.0,FRE,99.0,,21.0,,22.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,,x,,,,,,,,0.0
51,57.0,6.0,FRE,99.0,,22.0,,23.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,,x,,,,,,,,0.0
52,58.0,6.0,FRE,99.0,,23.0,,24.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,,x,,,,x,,,,25.0
53,59.0,6.0,FRE,99.0,,24.0,,25.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,x,,,,,75.0
54,60.0,6.0,FRE,99.0,,25.0,,26.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,x,,,,,75.0
55,61.0,6.0,FRE,99.0,,26.0,,27.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,,x,,,x,,,,,50.0
56,62.0,6.0,FRE,99.0,,27.0,,28.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,,x,,,,50.0
58,66.0,6.0,FRE,180.0,,40.0,,41.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
59,67.0,6.0,FRE,180.0,,41.0,,42.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
60,68.0,6.0,FRE,180.0,,42.0,,43.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
61,69.0,6.0,FRE,180.0,,43.0,,44.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
62,70.0,6.0,FRE,180.0,,44.0,,45.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
63,71.0,6.0,FRE,180.0,,53.0,,54.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
64,72.0,6.0,FRE,180.0,R,54.0,R,55.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
65,73.0,6.0,FRE,180.0,R,55.0,R,56.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
66,74.0,6.0,FRE,180.0,R,56.0,R,57.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,,x,,,,75.0
67,75.0,6.0,FRE,180.0,R,57.0,R,58.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,,x,,,,75.0
68,76.0,6.0,FRE,180.0,R,58.0,R,59.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,,x,,,,75.0
69,77.0,6.0,FRE,180.0,R,59.0,R,60.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,,x,,,,x,,,,,75.0
70,78.0,6.0,FRE,180.0,R,60.0,R,61.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,,x,,,x,75.0
71,79.0,6.0,FRE,180.0,R,61.0,R,62.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,,,x,,x,50.0
72,80.0,6.0,FRE,180.0,R,62.0,R,63.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
73,81.0,6.0,FRE,180.0,R,63.0,R,64.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,,,,,,,x,,,,50.0
74,82.0,6.0,FRE,180.0,R,64.0,R,65.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,,,,,,x,,,,,100.0
75,83.0,6.0,FRE,180.0,R,66.0,,67.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,,,,,,x,,,,,100.0
77,84.0,6.0,KER,5.0,,1.0,,2.0,1.0,,7.0,District 7 - North Region,HiMt-4,FY23/Q3,X,,,,,X,,,,,100.0
78,85.0,6.0,KER,5.0,,2.0,,3.0,1.0,,7.0,District 7 - North Region,HiMt-4,FY23/Q3,X,,,,,X,,,,,100.0
79,86.0,6.0,KER,5.0,,3.0,,4.0,1.0,,7.0,District 7 - North Region,HiMt-4,FY23/Q3,X,,,,,X,,,,,100.0
80,87.0,6.0,KER,5.0,,4.0,,5.0,1.0,,7.0,District 7 - North Region,HiMt-4,FY23/Q3,X,,,,,X,,,,,100.0
81,88.0,6.0,KER,5.0,,5.0,,6.0,1.0,,7.0,District 7 - North Region,HiMt-4,FY23/Q3,X,,,,,,,X,,,50.0
82,89.0,6.0,KER,5.0,,6.0,,7.0,1.0,,7.0,District 7 - North Region,HiMt-4,FY23/Q3,X,,,,,X,,,,,100.0
83,90.0,6.0,KER,5.0,,7.0,,8.0,1.0,,7.0,District 7 - North Region,HiMt-4,FY23/Q3,X,,,,,X,,,,,100.0
84,91.0,6.0,KER,5.0,,8.0,,9.0,1.0,,7.0,District 7 - North Region,HiMt-4,FY23/Q3,X,,,,,X,,,,,100.0
85,92.0,6.0,KER,5.0,,9.0,,10.0,1.0,,7.0,District 7 - North Region,HiMt-4,FY23/Q3,X,,,,,X,,,,,100.0
86,93.0,6.0,KER,5.0,,10.0,,11.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
87,94.0,6.0,KER,5.0,,11.0,,12.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
88,95.0,6.0,KER,5.0,,12.0,,13.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,,X,,,,75.0
89,96.0,6.0,KER,5.0,,13.0,,14.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
90,97.0,6.0,KER,5.0,,14.0,,15.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
92,99.0,6.0,KER,58.0,R,54.0,R,55.0,1.0,,6.0,District 6 - South Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0
93,100.0,6.0,KER,58.0,R,55.0,R,56.0,1.0,,6.0,District 6 - South Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0
94,101.0,6.0,KER,58.0,R,56.0,R,57.0,1.0,,6.0,District 6 - South Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0
95,102.0,6.0,KER,58.0,R,57.0,R,58.0,1.0,,6.0,District 6 - South Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0
96,103.0,6.0,KER,58.0,R,58.0,R,59.0,1.0,,6.0,District 6 - South Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0
97,104.0,6.0,KER,58.0,R,59.0,R,60.0,1.0,,6.0,District 6 - South Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0
98,105.0,6.0,KER,58.0,R,60.0,R,61.0,1.0,,6.0,District 6 - South Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0
99,106.0,6.0,KER,58.0,R,61.0,R,62.0,1.0,,6.0,District 6 - South Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0
100,107.0,6.0,KER,58.0,R,62.0,R,63.0,1.0,,6.0,District 6 - South Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0
101,108.0,6.0,KER,58.0,R,63.0,R,64.0,1.0,,6.0,District 6 - South Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0
102,109.0,6.0,KER,58.0,R,64.0,R,65.0,1.0,,6.0,District 6 - South Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0
103,110.0,6.0,KER,58.0,R,65.0,R,66.0,1.0,,6.0,District 6 - South Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0
104,111.0,6.0,KER,58.0,R,66.0,,67.0,1.0,,6.0,District 6 - South Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0
106,122.0,6.0,KER,99.0,,25.0,,26.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
107,123.0,6.0,KER,99.0,,26.0,,27.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
108,124.0,6.0,KER,99.0,,27.0,,28.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
109,125.0,6.0,KER,99.0, ,28.0,,29.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
110,126.0,6.0,KER,99.0,R,29.0,R,30.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
111,127.0,6.0,KER,99.0,R,30.0,R,31.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
112,128.0,6.0,KER,99.0,R,31.0,,32.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
113,129.0,6.0,KER,99.0,,32.0,,33.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
114,130.0,6.0,KER,99.0,,33.0,,34.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
115,131.0,6.0,KER,99.0,,34.0,,35.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
116,132.0,6.0,KER,99.0,,48.0,,49.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,,X,,,,75.0
117,133.0,6.0,KER,99.0,,49.0,,50.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,,X,,,,75.0
118,134.0,6.0,KER,99.0,,50.0,,51.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,,,X,,,X,,,,,50.0
119,135.0,6.0,KER,99.0,,51.0,,52.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,,X,,,,X,,,,,75.0
120,136.0,6.0,KER,99.0,,52.0,,53.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,,,X,,,X,,,,,50.0
121,137.0,6.0,KER,99.0,,53.0,,54.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,,,X,,,50.0
122,138.0,6.0,KER,99.0,,54.0,,55.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,,,X,,,X,,,,,50.0
123,139.0,6.0,KER,99.0,,55.0,,56.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,,,X,,,X,,,,,50.0
124,140.0,6.0,KER,99.0,,56.0,,57.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,,,X,,,X,,,,,50.0
126,141.0,6.0,KIN,41.0,,16.0,,17.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
127,142.0,6.0,KIN,41.0,,17.0,,18.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
128,143.0,6.0,KIN,41.0,,18.0,,19.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
129,144.0,6.0,KIN,41.0,,19.0,,20.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
130,145.0,6.0,KIN,41.0,,20.0,,21.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
131,146.0,6.0,KIN,41.0,,21.0,,22.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
132,147.0,6.0,KIN,41.0,,22.0,,23.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
133,148.0,6.0,KIN,41.0,,23.0,,24.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
134,149.0,6.0,KIN,41.0,,24.0,,25.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
135,150.0,6.0,KIN,41.0,,25.0,,26.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
136,151.0,6.0,KIN,41.0,,26.0,,27.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
137,152.0,6.0,KIN,41.0,,27.0,,28.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
138,153.0,6.0,KIN,41.0,,28.0,,29.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
139,154.0,6.0,KIN,41.0,,29.0,,30.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
140,155.0,6.0,KIN,41.0,,30.0,,31.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
141,156.0,6.0,KIN,41.0,,31.0,,32.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
142,157.0,6.0,KIN,41.0,,32.0,,33.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
143,158.0,6.0,KIN,41.0,,33.0,,34.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
144,159.0,6.0,KIN,41.0,,34.0,,35.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
145,160.0,6.0,KIN,41.0,,35.0,,36.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
146,161.0,6.0,KIN,41.0,R,37.0,R,38.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
147,162.0,6.0,KIN,41.0,R,39.0,R,40.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
148,163.0,6.0,KIN,41.0,R,40.0,R,41.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
149,164.0,6.0,KIN,41.0,R,41.0,R,42.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
150,165.0,6.0,KIN,41.0,R,42.0,R,43.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
152,166.0,6.0,KIN,198.0,,8.0,,9.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
153,167.0,6.0,KIN,198.0,R,9.0,R,10.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
154,168.0,6.0,KIN,198.0,R,10.0,R,11.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
155,169.0,6.0,KIN,198.0,R,11.0,R,12.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
156,170.0,6.0,KIN,198.0,R,12.0,R,13.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
157,171.0,6.0,KIN,198.0,R,17.0,R,18.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,X,,,,,,X,,,X,75.0
158,172.0,6.0,KIN,198.0,R,18.0,R,19.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
159,173.0,6.0,KIN,198.0,R,19.0,R,20.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
160,174.0,6.0,KIN,198.0,R,20.0,R,21.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,X,,,,,,X,,,,75.0
161,175.0,6.0,KIN,198.0,R,21.0,R,22.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
163,176.0,6.0,MAD,99.0, ,0.0,,1.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0
164,177.0,6.0,MAD,99.0,,1.0,,2.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0
165,178.0,6.0,MAD,99.0,,2.0,,3.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0
166,179.0,6.0,MAD,99.0,,3.0,,4.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0
167,180.0,6.0,MAD,99.0,,4.0,,5.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0
168,181.0,6.0,MAD,99.0,,5.0,,6.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0
169,182.0,6.0,MAD,99.0,,6.0,,7.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,x,,,,,75.0
170,184.0,6.0,MAD,99.0,,8.0,,9.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0
171,185.0,6.0,MAD,99.0,,9.0,,10.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,,x,,,,75.0
172,186.0,6.0,MAD,99.0,,10.0,,11.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,,x,,,,75.0
173,187.0,6.0,MAD,99.0,,11.0,,12.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0
174,188.0,6.0,MAD,99.0,,12.0,,13.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,x,,,x,x,,,,,75.0
175,189.0,6.0,MAD,99.0,,13.0,,14.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0
176,190.0,6.0,MAD,99.0,,14.0,,15.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0
177,191.0,6.0,MAD,99.0,,15.0,,16.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0
178,192.0,6.0,MAD,99.0,,16.0,,17.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,,x,,,,75.0
179,193.0,6.0,MAD,99.0,R,18.0,R,19.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0
180,194.0,6.0,MAD,99.0,R,19.0,R,20.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,,x,,,,50.0
181,195.0,6.0,MAD,99.0,R,20.0,,21.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0
182,196.0,6.0,MAD,99.0,,21.0,,22.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0
183,197.0,6.0,MAD,99.0,,22.0,,23.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0
184,198.0,6.0,MAD,99.0,,23.0,,24.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,x,,,,,75.0
185,199.0,6.0,MAD,99.0,,24.0,,25.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0
186,200.0,6.0,MAD,99.0,,25.0,,26.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,,x,,,,75.0
187,201.0,6.0,MAD,99.0,,26.0,,27.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0
