ID,DIST,CO,RTE,PF1,BEGPM,PF1,ENDPM,Length,HG,MAINT_DIST,MAINT_RGN,DIST_RGN,BUDGETZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score
77,12,ORA,22,R,10,R,11,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,,X,,,,X,,,,,75,X,,,,,X,,,,,100,88
78,12,ORA,22,R,11,R,12,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
79,12,ORA,22,R,12,R,13,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,,X,,,,75,X,,,,,X,,,,,100,88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,12,ORA,39,,0,,1,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
81,12,ORA,39,,1,,2,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
82,12,ORA,39,,2,,3,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
83,12,ORA,39,,3,,4,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
84,12,ORA,39,,4,,5,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
85,12,ORA,39,,5,,6,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
