,ID,DIST,CO,RTE,Prefix,BPM,Prefix.1,EPM,Zone,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass.1","NB/EB
Need 1.1","NB/EB
Need 2.1","NB/EB
Construction.1","NB/EB
Encampments.1","SB/WB
Pass.1","SB/WB
Need 1.1","SB/WB
Need 2.1","SB/WB
Construction.1","SB/WB
Encampments.1",RA LOS Score,Average LOS score
191,182.0,4.0,SCL,101.0,R,27.0,,28.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,,X,,,,75.0,88.0
192,183.0,4.0,SCL,101.0,,28.0,,29.0,NoCst-5,FY23/Q3,,x,,,,,,x,,,25.0,,,X,,,,X,,,,25.0,25.0
193,184.0,4.0,SCL,101.0,,29.0,,30.0,NoCst-5,FY23/Q3,,x,,,,,x,,,,50.0,X,,,,,,,X,,,50.0,50.0
194,185.0,4.0,SCL,101.0,,30.0,,31.0,NoCst-5,FY23/Q3,,x,,,,,x,,,,50.0,,,X,,,,,X,,,0.0,25.0
195,186.0,4.0,SCL,101.0,,31.0,,32.0,NoCst-5,FY23/Q3,,x,,,,,x,,,,50.0,,,X,,,,,X,,,0.0,25.0
196,187.0,4.0,SCL,101.0,,32.0,,33.0,NoCst-5,FY23/Q3,,x,,,,x,,,,,75.0,,,X,,,X,,,,,50.0,63.0
197,188.0,4.0,SCL,101.0,R,36.0,,37.0,NoCst-5,FY23/Q3,,,x,,,,x,,,,25.0,,,X,,,,X,,,,25.0,25.0
198,189.0,4.0,SCL,101.0,,37.0,,38.0,NoCst-5,FY23/Q3,,,x,,,,x,,,,25.0,,,X,,,,,X,,,0.0,13.0
199,190.0,4.0,SCL,101.0,,38.0,,39.0,NoCst-5,FY23/Q3,,x,,,,,,x,,,25.0,,,X,,,,,X,,,0.0,13.0
200,191.0,4.0,SCL,101.0,,39.0,,40.0,NoCst-5,FY23/Q3,,x,,,,,,x,,,25.0,,,X,,,,X,,,X,25.0,25.0
201,193.0,4.0,SCL,101.0,,43.0,,44.0,NoCst-5,FY23/Q3,,x,,,,,x,,,,50.0,,,X,,,,X,,,,25.0,38.0
202,194.0,4.0,SCL,101.0,,44.0,,45.0,NoCst-5,FY23/Q3,,,x,,x,,x,,,,25.0,,,X,,,,X,,,,25.0,25.0
203,195.0,4.0,SCL,101.0,,45.0,,46.0,NoCst-5,FY23/Q3,,x,,,,x,,,,,75.0,,,X,,,,,X,,,0.0,38.0
204,196.0,4.0,SCL,101.0,,46.0,,47.0,NoCst-5,FY23/Q3,,x,,,,,x,,,,50.0,,X,,,,,,X,,,25.0,38.0
205,197.0,4.0,SCL,101.0,,47.0,,48.0,NoCst-5,FY23/Q3,,x,,,,,,x,,,25.0,,,X,,,,,X,,,0.0,13.0
206,198.0,4.0,SCL,101.0,,48.0,,49.0,NoCst-5,FY23/Q3,,x,,,,x,,,,,75.0,,,X,,,,,X,,,0.0,38.0
207,199.0,4.0,SCL,101.0,,49.0,,50.0,NoCst-5,FY23/Q3,,x,,,,,x,,,,50.0,X,,,,,,X,,,,75.0,63.0
208,200.0,4.0,SCL,101.0,,50.0,,51.0,NoCst-5,FY23/Q3,x,,,,,,x,,,,75.0,X,,,,,,X,,,,75.0,75.0
209,201.0,4.0,SCL,101.0,,51.0,,52.0,NoCst-5,FY23/Q3,,x,,,,,x,,,,50.0,X,,,,,,X,,,,75.0,63.0
211,202.0,4.0,SCL,237.0,R,1.0,,2.0,NoCst-5,FY23/Q3,,x,,,,,x,,,,50.0,,X,,,,,X,,,,50.0,50.0
212,203.0,4.0,SCL,237.0,,2.0,,3.0,NoCst-5,FY23/Q3,,,x,,x,,x,,,,25.0,,,X,,,,X,,,,25.0,25.0
213,204.0,4.0,SCL,237.0,,3.0,,4.0,NoCst-5,FY23/Q3,,x,,,,,x,,,,50.0,,,X,,,,,X,,,0.0,25.0
214,205.0,4.0,SCL,237.0,,4.0,,5.0,NoCst-5,FY23/Q3,x,,,,,,x,,,,75.0,X,,,,,X,,,,,100.0,88.0
215,206.0,4.0,SCL,237.0,,5.0,,6.0,NoCst-5,FY23/Q3,x,,,,,,x,,,,75.0,,,X,,,,,X,,,0.0,38.0
216,207.0,4.0,SCL,237.0,,6.0,,7.0,NoCst-5,FY23/Q3,,x,,,,,x,,,,50.0,,,X,,,,,X,,,0.0,25.0
217,208.0,4.0,SCL,237.0,,7.0,,8.0,NoCst-5,FY23/Q3,,x,,,,,x,,,,50.0,,,X,,,,,X,,,0.0,25.0
218,209.0,4.0,SCL,237.0,,8.0,,9.0,NoCst-5,FY23/Q3,,,x,,,,x,,,,25.0,,,X,,,,,X,,X,0.0,13.0
219,210.0,4.0,SCL,237.0,,9.0,,10.0,NoCst-5,FY23/Q3,,x,,,,x,,,,,75.0,,X,,,,,,X,,,25.0,50.0
220,211.0,4.0,SCL,237.0,,10.0,,11.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
222,212.0,4.0,SCL,280.0,R,0.0,,1.0,NoCst-5,FY23/Q3,,,x,,,,x,,,,25.0,,X,,,,,X,,,,50.0,38.0
223,213.0,4.0,SCL,280.0,,1.0,,2.0,NoCst-5,FY23/Q3,,,x,,x,,x,,,,25.0,,X,,,X,,X,,,,50.0,38.0
224,214.0,4.0,SCL,280.0,,2.0,,3.0,NoCst-5,FY23/Q3,,,x,,,,,x,,,0.0,,,X,,,,X,,,X,25.0,13.0
225,215.0,4.0,SCL,280.0,,3.0,,4.0,NoCst-5,FY23/Q3,,x,,,,,x,,,,50.0,,,X,,,,X,,,X,25.0,38.0
226,216.0,4.0,SCL,280.0,,4.0,,5.0,NoCst-5,FY23/Q3,,x,,,,x,,,,,75.0,,,X,,X,,,X,,X,0.0,38.0
227,217.0,4.0,SCL,280.0,,5.0,,6.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,,,X,,,,,X,,,0.0,50.0
228,218.0,4.0,SCL,280.0,,6.0,,7.0,NoCst-5,FY23/Q3,,x,,,,,x,,,,50.0,,X,,,,X,,,,,75.0,63.0
229,219.0,4.0,SCL,280.0,,7.0,,8.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,,,X,,X,50.0,75.0
230,220.0,4.0,SCL,280.0,,8.0,,9.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,,X,,,,75.0,88.0
231,221.0,4.0,SCL,280.0,,9.0,,10.0,NoCst-5,FY23/Q3,x,,,,,,,x,,x,50.0,X,,,,,,X,,,,75.0,63.0
232,222.0,4.0,SCL,280.0,,12.0,,13.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,,,X,,,50.0,75.0
233,223.0,4.0,SCL,280.0,,14.0,,15.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,,X,,,,75.0,88.0
234,224.0,4.0,SCL,280.0,,15.0,,16.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
236,225.0,4.0,SCL,680.0,M,0.0,,1.0,NoCst-5,FY23/Q3,,x,,,,,,x,,,25.0,,X,,,X,,,X,,,25.0,25.0
237,226.0,4.0,SCL,680.0,,1.0,,2.0,NoCst-5,FY23/Q3,,x,,,,x,,,,,75.0,,,X,,,,X,,,,25.0,50.0
238,227.0,4.0,SCL,680.0,,2.0,,3.0,NoCst-5,FY23/Q3,,,x,,,,x,,,,25.0,,X,,,,,,X,,,25.0,25.0
239,228.0,4.0,SCL,680.0,,3.0,,4.0,NoCst-5,FY23/Q3,,x,,,,x,,,,,75.0,X,,,,,,X,,,,75.0,75.0
240,229.0,4.0,SCL,680.0,,4.0,,5.0,NoCst-5,FY23/Q3,x,,,,,,x,,,,75.0,X,,,,,,,X,,,50.0,63.0
241,230.0,4.0,SCL,680.0,,5.0,,6.0,NoCst-5,FY23/Q3,,x,,,,,x,,,,50.0,,X,,,,,,X,,,25.0,38.0
242,231.0,4.0,SCL,680.0,,6.0,,7.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,,,X,,,,,X,,,0.0,50.0
243,232.0,4.0,SCL,680.0,,7.0,,8.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,,X,,,,X,,,,,75.0,88.0
244,233.0,4.0,SCL,680.0,,8.0,,9.0,NoCst-5,FY23/Q3,,x,,,,x,,,,,75.0,,X,,,,,,X,,,25.0,50.0
246,234.0,4.0,SCL,880.0,,0.0,,1.0,NoCst-5,FY23/Q3,,,x,,x,,,x,,,0.0,,,X,,X,,X,,,,25.0,13.0
247,235.0,4.0,SCL,880.0,,1.0,,2.0,NoCst-5,FY23/Q3,,x,,,,,,x,,,25.0,,,X,,,,,X,,,0.0,13.0
248,236.0,4.0,SCL,880.0,,2.0,,3.0,NoCst-5,FY23/Q3,,,x,,,,,x,,,0.0,,,X,,,,,X,,,0.0,0.0
249,237.0,4.0,SCL,880.0,,3.0,,4.0,NoCst-5,FY23/Q3,,,x,,,,,x,,,0.0,,,X,,,,,X,,,0.0,0.0
250,238.0,4.0,SCL,880.0,,4.0,,5.0,NoCst-5,FY23/Q3,,,x,,,,,x,,,0.0,,,X,,,,X,,,,25.0,13.0
251,239.0,4.0,SCL,880.0,,5.0,,6.0,NoCst-5,FY23/Q3,,,x,,,,,x,,,0.0,,,X,,,,X,,,,25.0,13.0
252,240.0,4.0,SCL,880.0,,6.0,,7.0,NoCst-5,FY23/Q3,,,x,,,,,x,,,0.0,X,,,,,,,X,,,50.0,25.0
253,241.0,4.0,SCL,880.0,,7.0,,8.0,NoCst-5,FY23/Q3,,,x,,,,x,,,,25.0,,X,,,,,X,,,,50.0,38.0
254,242.0,4.0,SCL,880.0,,8.0,,9.0,NoCst-5,FY23/Q3,,,x,,,,,x,,,0.0,,,X,,,,,X,,,0.0,0.0
255,243.0,4.0,SCL,880.0,,9.0,,10.0,NoCst-5,FY23/Q3,,x,,,,,,x,,,25.0,,X,,,,X,,,,,75.0,50.0
257,244.0,4.0,SM,1.0,,42.0,,43.0,NoCst-3,FY23/Q3,x,,,,,x,,,,,100.0,x,,,,,X,,,,,100.0,100.0
258,245.0,4.0,SM,1.0,,43.0,,44.0,NoCst-3,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
259,246.0,4.0,SM,1.0, ,44.0,,45.0,NoCst-3,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
260,247.0,4.0,SM,1.0,,45.0,,46.0,NoCst-3,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
261,248.0,4.0,SM,1.0,,46.0,R,47.0,NoCst-3,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
263,249.0,4.0,SM,35.0,,26.0,,27.0,NoCst-3,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
264,250.0,4.0,SM,35.0,,27.0,,28.0,NoCst-3,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
266,251.0,4.0,SM,92.0,,9.0,,10.0,NoCst-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,x,,,,,100.0,100.0
267,252.0,4.0,SM,92.0,,10.0,R,11.0,NoCst-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,x,,,,,100.0,100.0
269,253.0,4.0,SM,101.0,,0.0,,1.0,NoCst-5,FY23/Q3,,x,,,,x,,,,,75.0,,X,,,,X,,,,,75.0,75.0
270,254.0,4.0,SM,101.0,,1.0,,2.0,NoCst-5,FY23/Q3,,x,,,,x,,,,,75.0,,X,,,,X,,,,,75.0,75.0
271,255.0,4.0,SM,101.0,,2.0,,3.0,NoCst-5,FY23/Q3,,x,,,,,x,,,,50.0,,X,,,,X,,,,,75.0,63.0
272,256.0,4.0,SM,101.0,,3.0,,4.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
273,257.0,4.0,SM,101.0,,4.0,,5.0,NoCst-5,FY23/Q3,,x,,,,x,,,,,75.0,,,X,,,X,,,,,50.0,63.0
274,258.0,4.0,SM,101.0,,7.0,,8.0,NoCst-5,FY23/Q3,x,,,,,,x,,,,75.0,X,,,,,X,,,,,100.0,88.0
275,259.0,4.0,SM,101.0,,8.0,,9.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,,X,,,,75.0,88.0
276,260.0,4.0,SM,101.0,,9.0,,10.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
277,261.0,4.0,SM,101.0,,10.0,,11.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,,X,,,,X,,,,,75.0,88.0
278,262.0,4.0,SM,101.0,,11.0,,12.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
279,263.0,4.0,SM,101.0,,12.0,,13.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
280,264.0,4.0,SM,101.0,,17.0,,18.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
281,265.0,4.0,SM,101.0,,18.0,,19.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,,X,,,,X,,,,,75.0,88.0
282,266.0,4.0,SM,101.0,,20.0,,21.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,,X,,,,,X,,,,50.0,75.0
283,267.0,4.0,SM,101.0,,21.0,,22.0,NoCst-5,FY23/Q3,x,,,,,,,x,,x,50.0,,,X,,,,,X,,X,0.0,25.0
284,268.0,4.0,SM,101.0,,22.0,,23.0,NoCst-5,FY23/Q3,x,,,,,,x,,,,75.0,X,,,,,,X,,,,75.0,75.0
286,269.0,4.0,SM,280.0,R,13.0,R,14.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
287,270.0,4.0,SM,280.0,,18.0,,19.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
288,271.0,4.0,SM,280.0,,19.0,,20.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
289,272.0,4.0,SM,280.0,,20.0,R,21.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
290,273.0,4.0,SM,280.0,R,22.0,,23.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
291,274.0,4.0,SM,280.0,,23.0,,24.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
292,275.0,4.0,SM,280.0,,24.0,R,25.0,NoCst-5,FY23/Q3,x,,,,,,,x,,x,50.0,,X,,,X,X,,,,,75.0,63.0
294,276.0,4.0,SOL,37.0, R,10.0,,11.0,InVal-4,FY23/Q3,,x,,,,x,,,,,75.0,,X,,,,X,,,,,75.0,75.0
296,278.0,4.0,SOL,80.0,,2.0,,3.0,NoCst-5,FY23/Q3,,x,,,,,,x,,,25.0,,X,,,,,,X,,,25.0,25.0
297,279.0,4.0,SOL,80.0,,3.0,,4.0,NoCst-5,FY23/Q3,,,x,,x,,x,,,,25.0,,X,,,,,X,,,,50.0,38.0
298,280.0,4.0,SOL,80.0,,4.0,,5.0,NoCst-5,FY23/Q3,x,,,,,,x,,,,75.0,X,,,,,X,,,,,100.0,88.0
299,281.0,4.0,SOL,80.0,,9.0,,10.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
300,283.0,4.0,SOL,80.0,,14.0,,15.0,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
301,284.0,4.0,SOL,80.0,,15.0,,16.0,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
302,285.0,4.0,SOL,80.0,,16.0,,17.0,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
304,288.0,4.0,SOL,680.0,R,1.0,,2.0,InVal-4,FY23/Q3,,x,,,,x,,,,,75.0,,X,,,,X,,,,,75.0,75.0
305,289.0,4.0,SOL,680.0,,2.0,,3.0,InVal-4,FY23/Q3,,x,,,,,x,,,,50.0,,X,,,,X,,,,,75.0,63.0
306,290.0,4.0,SOL,680.0,,4.0,,5.0,InVal-4,FY23/Q3,,x,,,,,x,,,,50.0,,x,,,,,X,,,,50.0,50.0
307,291.0,4.0,SOL,680.0,,5.0,,6.0,InVal-4,FY23/Q3,,x,,,,,x,,,,50.0,X,,,,,X,,,,,100.0,75.0
308,292.0,4.0,SOL,680.0,,6.0,,7.0,InVal-4,FY23/Q3,,x,,,,,x,,,,50.0,,X,,,,X,,,,,75.0,63.0
309,293.0,4.0,SOL,680.0,,7.0,,8.0,InVal-4,FY23/Q3,,x,,,,x,,,,,75.0,X,,,,,X,,,,,100.0,88.0
310,294.0,4.0,SOL,680.0,,8.0,,9.0,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,,X,,,,75.0,88.0
311,295.0,4.0,SOL,680.0,,10.0,,11.0,InVal-4,FY23/Q3,,x,,,,,x,,,,50.0,X,,,,,X,,,,,100.0,75.0
312,296.0,4.0,SOL,680.0,,11.0,,12.0,InVal-4,FY23/Q3,x,,,,,,x,,,,75.0,X,,,,,,x,,,,75.0,75.0
313,297.0,4.0,SOL,680.0,,12.0,,13.0,InVal-4,FY23/Q3,,x,,,,,x,,,,50.0,X,,,,,,X,,,,75.0,63.0
315,298.0,4.0,SOL,780.0,,2.0,,3.0,NoCst-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
316,299.0,4.0,SOL,780.0,,3.0,,4.0,NoCst-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
317,300.0,4.0,SOL,780.0,,4.0,,5.0,NoCst-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
318,301.0,4.0,SOL,780.0,,5.0,,6.0,NoCst-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
319,302.0,4.0,SOL,780.0,,6.0,,7.0,NoCst-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
321,303.0,4.0,SON,101.0,,2.0,,3.0,LoMt-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
322,304.0,4.0,SON,101.0,,3.0,,4.0,LoMt-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
323,305.0,4.0,SON,101.0,,4.0,,5.0,LoMt-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
324,306.0,4.0,SON,101.0,,5.0,,6.0,LoMt-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
325,307.0,4.0,SON,101.0,,6.0,,7.0,LoMt-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
326,308.0,4.0,SON,101.0,,7.0,,8.0,LoMt-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
327,309.0,4.0,SON,101.0,,10.0,,11.0,LoMt-5,FY23/Q3,,x,,,,x,,,,,75.0,X,,,,,X,,,,,100.0,88.0
328,310.0,4.0,SON,101.0,,16.0,,17.0,LoMt-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
329,311.0,4.0,SON,101.0,,17.0,,18.0,LoMt-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
330,312.0,4.0,SON,101.0,,18.0,,19.0,LoMt-5,FY23/Q3,x,,,,,,x,,,,75.0,X,,,,,X,,,,,100.0,88.0
331,313.0,4.0,SON,101.0,,21.0,,22.0,LoMt-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
332,314.0,4.0,SON,101.0,,22.0,,23.0,LoMt-5,FY23/Q3,x,,,,,,x,,,,75.0,X,,,,,X,,,,,100.0,88.0
