ID,CO,RTE,REGION ZONE,Prefix,BPM,Prefix,EPM,Zone,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score
66,LA,1,SoCst-4,,51,,52,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
67,LA,1,SoCst-4,,52,,53,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
68,LA,1,SoCst-4,,53,,54,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
69,LA,1,SoCst-4,,54,,55,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,LA,5,InVal-5,,8,,9,,FY23/Q3,1,,,,,,1,,,,75,X,,,,,,X,,,,75,75
71,LA,5,InVal-5,,9,,10,,FY23/Q3,1,,,,,,1,,,,75,X,,,,,,X,,,X,75,75
72,LA,5,InVal-5,,10,,11,,FY23/Q3,,1,,,,,1,,,,50,X,,,,,X,,,,,100,75
73,LA,5,InVal-5,,11,,12,,FY23/Q3,,1,,,,,1,,,,50,,X,,,,X,,,,,75,63
74,LA,5,InVal-5,,12,,13,,FY23/Q3,,,1,,,,1,,,,25,X,,,,,,X,,,X,75,50
75,LA,5,InVal-5,,13,,14,,FY23/Q3,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88
76,LA,5,InVal-5,,14,,15,,FY23/Q3,,1,,,,,1,,,,50,,X,,,X,X,,,,,75,63
78,LA,5,InVal-5,,16,,17,,FY23/Q3,1,,,,,,1,,,,75,,X,,,X,,X,,,X,50,63
79,LA,5,InVal-5,,18,,19,,FY23/Q3,1,,,,,,1,,,,75,X,,,,,,X,,,X,75,75
80,LA,5,InVal-5,,19,,20,,FY23/Q3,1,,,,,1,,,,,100,,X,,,X,,X,,,,50,75
81,LA,5,InVal-5,,20,,21,,FY23/Q3,1,,,,,,1,,,,75,X,,,,,,X,,,X,75,75
