ID,DIST,CO,RTE,PF1,BEGPM,PF1,ENDPM,Length,MAINT_DIST,MAINT_RGN,DIST_RGN,BUDGET ZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score
95,3,SAC,5,,33,,34,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,,,1,,,,1,,,,25,,,X,,,X,,,,,50,38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,3,YOL,5,R,7,R,8,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,,1,,,1,,1,,,,50,,X,,,X,X,,,,,75,63
97,3,YOL,5,R,8,R,9,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,,,1,,,,1,,,,25,X,,,,,,X,,,,75,50
98,3,YOL,5,R,9,R,10,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,,,1,,,,1,,,,25,X,,,,,,,X,,,50,38
99,3,YOL,5,R,10,R,11,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,,1,,,,1,,,,,75,,,X,,,,X,,,,25,50
100,3,YOL,5,R,11,R,12,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,,,1,,,1,,,,,50,,,X,,,,X,,,,25,38
101,3,YOL,5,R,12,R,13,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,,,1,,,,1,,,,25,,,X,,,,X,,,,25,25
102,3,YOL,5,R,13,R,14,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,,,1,,,1,,,,,50,,,X,,,X,,,,,50,50
103,3,YOL,5,R,14,R,15,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,,,1,,,,1,,,,25,,,X,,,X,,,,,50,38
104,3,YOL,5,R,15,R,16,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,,,1,,,1,,,,,50,,X,,,,X,,,,,75,63
105,3,YOL,5,R,16,R,17,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,,,1,,,,1,,,,25,,,X,,,X,,,,,50,38
106,3,YOL,5,R,17,R,18,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,,,1,,,1,,,,,50,,X,,,,X,,,,,75,63
107,3,YOL,5,R,18,R,19,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,,,1,,,1,,,,,50,,,X,,,X,,,,,50,50
108,3,YOL,5,R,19,R,20,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,,,1,,,,,1,,,0,,,X,,,,X,,,,25,13
109,3,YOL,5,R,20,R,21,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,,,1,,,,1,,,,25,,,X,,,,X,,,,25,25
110,3,YOL,5,R,21,R,22,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,,,1,,,1,,,,,50,,,X,,,X,,,,,50,50
111,3,YOL,5,R,22,R,23,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,,,1,,,,1,,,,25,,,X,,,X,,,,,50,38
112,3,YOL,5,R,23,R,24,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,,,1,,,,,1,,,0,,X,,,,X,,,,,75,38
113,3,YOL,5,R,24,R,25,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,,,1,,,,,1,,,0,,,X,,,,,X,,,0,0
114,3,YOL,5,R,25,R,26,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,,,1,,,,,1,,,0,,X,,,,,,X,,,25,13
115,3,YOL,5,R,26,R,27,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,,,1,,,,,1,,,0,,,X,,,,X,,,,25,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,3,PLA,49,,4,,5,1,3,District 3 - Sutter/Sierra Region,District 3 - Sutter/Sierra Region,LoMt-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
117,3,PLA,49,,5,,6,1,3,District 3 - Sutter/Sierra Region,District 3 - Sutter/Sierra Region,LoMt-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
118,3,PLA,49,,6,,7,1,3,District 3 - Sutter/Sierra Region,District 3 - Sutter/Sierra Region,LoMt-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
119,3,PLA,49,R,7,R,8,1,3,District 3 - Sutter/Sierra Region,District 3 - Sutter/Sierra Region,LoMt-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
120,3,PLA,49,R,8,R,9,1,3,District 3 - Sutter/Sierra Region,District 3 - Sutter/Sierra Region,LoMt-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
121,3,PLA,49,R,9,R,10,1,3,District 3 - Sutter/Sierra Region,District 3 - Sutter/Sierra Region,LoMt-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,3,SAC,50,R,6,R,7,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,,1,,,,75,X,,,,,X,,,,,100,88
129,3,SAC,50,R,7,R,8,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,,1,,,,75,X,,,,,X,,,,,100,88
130,3,SAC,50,R,8,R,9,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
131,3,SAC,50,R,9,R,10,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,,1,,,,75,X,,,,,X,,,,,100,88
132,3,SAC,50,R,10,R,11,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88
133,3,SAC,50,R,11,R,12,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,,1,,,,75,X,,,,,X,,,,,100,88
134,3,SAC,50,R,12, ,13,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
135,3,SAC,50,,13, ,14,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
136,3,SAC,50,,14, ,15,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
137,3,SAC,50,,15, ,16,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
138,3,SAC,50,,16, ,17,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
139,3,SAC,50,,17, ,18,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
140,3,SAC,50,,18, ,19,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,,,1,,,50,,X,,,,X,,,,,75,63
141,3,SAC,50,,19, ,20,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,,,1,,,,,1,,,0,,X,,,,,,X,,,25,13
142,3,SAC,50,,20, ,21,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,,1,,,,,,1,,,25,X,,,,,,,X,,,50,38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,3,SAC,51,,0, ,1,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,,1,,,,,1,,,,50,X,,,,,,X,,,,75,63
