ID,DIST,CO,RTE,PFX,BEGPM,PREFIX,ENDPM,Length,HG,MAINT_DIST,MAINT_RGN,DIST_RGN,BUDGETZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score
56,10,SJ,5,,2,,3,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,,1,,,,,75,,X,,,,X,,,,,75,75
57,10,SJ,5,,3,,4,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,,,1,,,,50,,X,,,,,X,,,,50,50
58,10,SJ,5,,4,,5,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1,,,,,1,,,,,100,,X,,,,X,,,,,75,88
59,10,SJ,5,,5,,6,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
61,10,SJ,5,,7,,8,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
62,10,SJ,5,,8,,9,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
63,10,SJ,5,,9,,10,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88
64,10,SJ,5,,10,,11,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88
65,10,SJ,5, ,11,,12,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
66,10,SJ,5,R,12,,13,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,,1,,,,,75,X,,,,,,X,,,,75,75
67,10,SJ,5,R,13,,14,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1,,,,,,1,,,,75,,,X,,,X,,,,,50,63
68,10,SJ,5,R,14,,15,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,,,1,,,,50,,,X,,,,,X,,,0,25
69,10,SJ,5,R,15,,16,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1,,,,,,1,,,,75,,X,,,,,,X,,,25,50
70,10,SJ,5,R,16,,17,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1,,,,,,1,,,,75,,X,,,,,,X,,,25,50
71,10,SJ,5,R,17,,18,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1,,,,,,1,,,,75,X,,,,,,,X,,,50,63
72,10,SJ,5,R,18,,19,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1,,,,,,1,,,,75,,X,,,,X,,,,,75,75
73,10,SJ,5,R,19,,20,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1,,,,,,1,,,,75,,X,,,,X,,,,,75,75
74,10,SJ,5,R,20,,21,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1,,,,,1,,,,,100,,X,,,,X,,,,,75,88
75,10,SJ,5,R,21,,22,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,,,1,,,,50,,,X,,,,X,,,,25,38
76,10,SJ,5,R,22,R,23,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1,,,,,,1,,,,75,,,X,,,,X,,,,25,50
77,10,SJ,5,R,23,R,24,,,,,,,FY23/Q3,1,,,,,1,,,,,100,,,X,,,,X,,,,25,63
78,10,SJ,5,R,24,,25,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,1,1,,,,,75,,,X,,,,X,,,,25,50
79,10,SJ,5,,25,,26,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,1,1,,,,,75,,X,,,,,X,,,,50,63
80,10,SJ,5,,26,,27,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,1,1,,,,,75,X,,,,,,X,,,,75,75
81,10,SJ,5,,27,,28,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,,,1,,,1,50,,X,,,,,X,,,,50,50
82,10,SJ,5,,28,,29,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1,,,,,,1,,,,75,X,,,,,,X,,,,75,75
83,10,SJ,5,,29,,30,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1,,,,,,1,,,1,75,X,,,,,X,,,,,100,88
84,10,SJ,5,,30,,31,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,1,1,,,,,75,X,,,,,X,,,,,100,88
85,10,SJ,5,,31,,32,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
86,10,SJ,5,,32,,33,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,1,,1,,,1,50,,X,,,,,X,,,,50,50
87,10,SJ,5,,33,,34,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,,1,,1,1,,,,,50,X,,,,,,X,,,,75,63
88,10,SJ,5,,34,,35,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,1,1,,,,,75,,X,,,,,X,,,,50,63
89,10,SJ,5,,35,,36,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1,,,,,1,,,,,100,X,,,,,,X,,,,75,88
90,10,SJ,5,,36,,37,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
91,10,SJ,5,,37,,38,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1,,,,,,1,,,,75,,X,,,,X,,,,,75,75
92,10,SJ,5,,38,,39,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,,,1,,,,50,X,,,,,,,X,,,50,50
93,10,SJ,5,,39,,40,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,,,1,,,,50,X,,,,,,,X,,,50,50
94,10,SJ,5,,40,,41,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,1,,,1,,,25,X,,,,,,,X,,X,50,38
95,10,SJ,5,,41,,42,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,,,1,,,,50,,X,,,,X,,,,,75,63
96,10,SJ,5,,42,,43,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1,,,,,,1,,,,75,X,,,,,,X,,,,75,75
97,10,SJ,5,,43,,44,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,,,1,,,,50,X,,,,,X,,,,,100,75
98,10,SJ,5,,44,,45,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,,,1,,,,50,X,,,,,X,,,,,100,75
99,10,SJ,5,,45,,46,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1,,,,,,1,,,,75,,X,,,,X,,,,,75,75
100,10,SJ,5,,46,,47,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,,1,,,,1,,,,25,,X,,,,X,,,,,75,50
101,10,SJ,5,,47,,48,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,,,1,,,,50,,X,,,,X,,,,,75,63
102,10,SJ,5,,48,,49,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,,1,,,,,1,,,0,,,X,,,,X,,,,25,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,10,SJ,99,,0,,1,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,1,,,,,75,,X,,,,X,,,,,75,75
104,10,SJ,99,,1,,2,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,,X,,,,X,,,,,75,88
105,10,SJ,99,,2,,3,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
106,10,SJ,99,,3,,4,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
107,10,SJ,99,,4,,5,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88
108,10,SJ,99,,5,,6,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
109,10,SJ,99,,6,,7,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,,1,,,1,75,X,,,,,,X,,,,75,75
110,10,SJ,99,,7,,8,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,,X,,,,X,,,,,75,88
111,10,SJ,99,,8,,9,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,1,,,,,75,,X,,,,,X,,,,50,63
112,10,SJ,99,,9,,10,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
113,10,SJ,99,,10,,11,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
114,10,SJ,99,,11,,12,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
115,10,SJ,99,,12,,13,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,,X,,,,X,,,,,75,88
116,10,SJ,99,,13,,14,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,,1,,,,50,,X,,,,,X,,,,50,50
117,10,SJ,99,,14,,15,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88
118,10,SJ,99,,15,,16,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,,1,,,,75,X,,,,,X,,,,,100,88
119,10,SJ,99,,16,,17,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,,X,,,,75,88
120,10,SJ,99,,17,,18,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88
121,10,SJ,99,,18,,19,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
122,10,SJ,99,,19,,20,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,,1,,,1,50,,X,,,,,X,,,,50,50
123,10,SJ,99,,20,,21,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
124,10,SJ,99,,21,,22,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
125,10,SJ,99,,22,,23,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,,1,,,1,50,X,,,,,,X,,,,75,63
126,10,SJ,99,,23,,24,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,1,,,,,75,,X,,,,,X,,,,50,63
127,10,SJ,99,,24,,25,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,,1,,,1,75,X,,,,,X,,,,,100,88
128,10,SJ,99,,25,,26,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88
129,10,SJ,99,,26,,27,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
130,10,SJ,99,,27,,28,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,,,X,,,50,75
131,10,SJ,99,,28,,29,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,,X,,,,,,X,,,25,63
132,10,SJ,99,,29,,30,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,,1,,1,,1,,,1,25,,,X,,,,X,,,,25,25
133,10,SJ,99,,30,,31,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,,,1,,1,50,,,X,,,,,X,,,0,25
134,10,SJ,99,,31,,32,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,,1,,,1,75,,X,,,,,,X,,,25,50
135,10,SJ,99,,32,,33,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
136,10,SJ,99,,33,,34,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,,1,,,,50,,X,,,,,X,,,,50,50
137,10,SJ,99,,34,,35,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,1,,,,,75,,,X,,,,X,,,,25,50
138,10,SJ,99,,35,,36,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,,1,,,,75,,,X,,,,,X,,,0,38
139,10,SJ,99,,36,,37,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,,1,,,,75,,,X,,,,,X,,,0,38
140,10,SJ,99,,37,,38,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,1,,,,,75,,,X,,,,X,,,,25,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,10,SJ,205,,0,,1,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,,,,1,,,25,,,X,,,,,X,,,0,13
142,10,SJ,205,,1,,2,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,,,1,,,,50,,X,,,,,,X,,,25,38
143,10,S,205,,2,R,3,,,,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1,,,,,,,1,,,50,,X,,,,,,X,,,25,38
144,10,SJ,205,R,3,R,4,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1,,,,,,,1,,,50,,X,,,,,,X,,,25,38
145,10,SJ,205,R,4,R,5,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,,,1,,,,50,,X,,,,,,X,,,25,38
