ID,DIST,CO,RTE,PFX,BEGPM,PFX.1,ENDPM,Length,HG,MAINT_DIST,DIST_RGN,BUDGET ZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",Average LOS score
78.0,6.0,FRE,180.0,R,60.0,R,61.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,,x,,,x,75.0
79.0,6.0,FRE,180.0,R,61.0,R,62.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,,,x,,x,50.0
80.0,6.0,FRE,180.0,R,62.0,R,63.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
81.0,6.0,FRE,180.0,R,63.0,R,64.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,,,,,,,x,,,,50.0
82.0,6.0,FRE,180.0,R,64.0,R,65.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,,,,,,x,,,,,100.0
83.0,6.0,FRE,180.0,R,66.0,,67.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,,,,,,x,,,,,100.0
84.0,6.0,KER,5.0,,1.0,,2.0,1.0,,7.0,District 7 - North Region,HiMt-4,FY23/Q3,X,,,,,X,,,,,100.0
85.0,6.0,KER,5.0,,2.0,,3.0,1.0,,7.0,District 7 - North Region,HiMt-4,FY23/Q3,X,,,,,X,,,,,100.0
86.0,6.0,KER,5.0,,3.0,,4.0,1.0,,7.0,District 7 - North Region,HiMt-4,FY23/Q3,X,,,,,X,,,,,100.0
87.0,6.0,KER,5.0,,4.0,,5.0,1.0,,7.0,District 7 - North Region,HiMt-4,FY23/Q3,X,,,,,X,,,,,100.0
88.0,6.0,KER,5.0,,5.0,,6.0,1.0,,7.0,District 7 - North Region,HiMt-4,FY23/Q3,X,,,,,,,X,,,50.0
89.0,6.0,KER,5.0,,6.0,,7.0,1.0,,7.0,District 7 - North Region,HiMt-4,FY23/Q3,X,,,,,X,,,,,100.0
