ID,CO,RTE,REGION ZONE,Prefix,BPM,Prefix.1,EPM,Zone,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass.1","NB/EB
Need 1.1","NB/EB
Need 2.1","NB/EB
Construction.1","NB/EB
Encampments.1","SB/WB 
Pass.1","SB/WB
Need 1.1","SB/WB
Need 2.1","SB/WB
Construction.1","SB/WB
Encampments.1",RA LOS Score,Average LOS score
79.0,LA,5.0,InVal-5,,18.0,,19.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,,X,,,X,75.0,75.0
80.0,LA,5.0,InVal-5,,19.0,,20.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,X,,X,,,,50.0,75.0
81.0,LA,5.0,InVal-5,,20.0,,21.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,,X,,,X,75.0,75.0
82.0,LA,5.0,InVal-5,,21.0,,22.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,,X,,,X,75.0,75.0
83.0,LA,5.0,InVal-5,,22.0,,23.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,,X,,,,75.0,88.0
84.0,LA,5.0,InVal-5,,23.0,,24.0,,FY23/Q3,,1,,,,1.0,,,,,75.0,,X,,,X,X,,,,,75.0,75.0
85.0,LA,5.0,InVal-5,,24.0,,25.0,,FY23/Q3,1,,,,,,1,,,,75.0,,X,,,,X,,,,,75.0,75.0
86.0,LA,5.0,InVal-5,,25.0,,26.0,,FY23/Q3,,1,,,,1.0,,,,,75.0,,X,,,,X,,,,,75.0,75.0
87.0,LA,5.0,InVal-5,,26.0,,27.0,,FY23/Q3,,1,,,,,1,,,,50.0,,X,,,,X,,,,,75.0,63.0
88.0,LA,5.0,InVal-5,,27.0,,28.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
89.0,LA,5.0,InVal-5,,28.0,,29.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
90.0,LA,5.0,InVal-5,,29.0,,30.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
91.0,LA,5.0,InVal-5,,30.0,,31.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
92.0,LA,5.0,InVal-5,,31.0,,32.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
93.0,LA,5.0,InVal-5,,32.0,,33.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
94.0,LA,5.0,InVal-5,,33.0,,34.0,,FY23/Q3,,1,,,UNSHELTERED,,1,,,UNSHELTERED,50.0,,,X,,X,X,,,,,50.0,50.0
95.0,LA,5.0,InVal-5,,34.0,,35.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,,,X,,,X,50.0,75.0
96.0,LA,5.0,InVal-5,,35.0,,36.0,,FY23/Q3,,1,,,UNSHELTERED,,1,,,UNSHELTERED,50.0,,,X,,X,,X,,,X,25.0,38.0
97.0,LA,5.0,InVal-5,,36.0,,37.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,X,,X,,,,50.0,75.0
98.0,LA,5.0,InVal-5,,37.0,,38.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,,,X,,,,50.0,75.0
99.0,LA,5.0,InVal-5,,38.0,,39.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,,,X,,,,50.0,75.0
100.0,LA,5.0,InVal-5,,39.0,,40.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,,,X,,,,50.0,75.0
101.0,LA,5.0,InVal-5,,40.0,,41.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,,,X,,,,50.0,75.0
102.0,LA,5.0,InVal-5,,41.0,,42.0,,FY23/Q3,,1,,,,1.0,,,,,75.0,,X,,,X,,X,,,,50.0,63.0
103.0,LA,5.0,InVal-5,,42.0,,43.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
104.0,LA,5.0,InVal-5,,43.0,R,44.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,,X,,,,75.0,88.0
105.0,LA,5.0,InVal-5,R,44.0,R,45.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,,X,,,,75.0,88.0
106.0,LA,5.0,InVal-5,R,45.0,R,46.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,,X,,,,75.0,88.0
108.0,LA,10.0,InVal-5,R,7.0,,8.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
109.0,LA,10.0,InVal-5,R,8.0,,9.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
110.0,LA,10.0,InVal-5,,9.0,,10.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
111.0,LA,10.0,InVal-5,,10.0,,11.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
112.0,LA,10.0,InVal-5,,11.0,,12.0,,FY23/Q3,,1,,,,1.0,,,,,75.0,,X,,,X,,X,,,X,50.0,63.0
113.0,LA,10.0,InVal-5,,12.0,,13.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,X,,X,,,,50.0,75.0
114.0,LA,10.0,InVal-5,,13.0,,14.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,,,X,,,,50.0,75.0
115.0,LA,10.0,InVal-5,,14.0,,15.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,,X,,,,75.0,88.0
116.0,LA,10.0,InVal-5,,15.0,,16.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,,X,,,,75.0,88.0
117.0,LA,10.0,InVal-5,,16.0,,17.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,,X,,,,,75.0,88.0
118.0,LA,10.0,InVal-5,,17.0,,18.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
119.0,LA,10.0,InVal-5,,21.0,,22.0,,FY23/Q3,,1,,,,,1,,,,50.0,X,,,,,X,,,,,100.0,75.0
120.0,LA,10.0,InVal-5,,22.0,,23.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,,X,,,,75.0,88.0
121.0,LA,10.0,InVal-5,,23.0,,24.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
