ID,DIST,CO,RTE,Prefix,BPM,Prefix.1,EPM,Zone,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass.1","NB/EB
Need 1.1","NB/EB
Need 2.1","NB/EB
Construction.1","NB/EB
Encampments.1","SB/WB
Pass.1","SB/WB
Need 1.1","SB/WB
Need 2.1","SB/WB
Construction.1","SB/WB
Encampments.1",RA LOS Score,Average LOS score
111.0,4.0,CC,580.0,,3.0,R,4.0,NoCst-4,FY23/Q3,,,x,,x,,,x,,x,0.0,X,,,,,,,X,,X,50.0,25.0
112.0,4.0,CC,680.0,R,0.0,,1.0,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,,X,,,,75.0,88.0
113.0,4.0,CC,680.0,,1.0,,2.0,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,,X,,,,75.0,88.0
114.0,4.0,CC,680.0,,3.0,,4.0,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
115.0,4.0,CC,680.0,,4.0,,5.0,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,,X,,,,X,,,,,75.0,88.0
116.0,4.0,CC,680.0,,5.0,R,6.0,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
117.0,4.0,CC,680.0,,13.0,,14.0,InVal-5,FY23/Q3,,x,,,,x,,,,,75.0,,X,,,,X,,,,,75.0,75.0
118.0,4.0,CC,680.0,,14.0,,15.0,InVal-5,FY23/Q3,,,x,,,x,,,,,50.0,,X,,,,,X,,,,50.0,50.0
119.0,4.0,CC,680.0,,15.0,,16.0,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
120.0,4.0,CC,680.0,,16.0,,17.0,InVal-5,FY23/Q3,x,,,,,,x,,,,75.0,,X,,,,,X,,,,50.0,63.0
121.0,4.0,CC,680.0,R,18.0,,19.0,InVal-5,FY23/Q3,,x,,,,,x,,,,50.0,,X,,,,,X,,,,50.0,50.0
122.0,4.0,CC,680.0,,19.0,,20.0,InVal-5,FY23/Q3,x,,,,,,x,,,,75.0,,,X,,X,,X,,,X,25.0,50.0
123.0,4.0,CC,680.0,,20.0,,21.0,InVal-5,FY23/Q3,,,x,,,x,,,,,50.0,,,X,,X,,,X,,,0.0,25.0
124.0,4.0,CC,680.0,,21.0,,22.0,InVal-5,FY23/Q3,,,x,,,,x,,,,25.0,,,X,,,,,X,,,0.0,13.0
125.0,4.0,MRN,101.0,,0.0,,1.0,LoMt-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
126.0,4.0,MRN,101.0,,1.0,,2.0,LoMt-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
127.0,4.0,MRN,101.0,,2.0,,3.0,LoMt-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
128.0,4.0,MRN,101.0,,5.0,,6.0,LoMt-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
129.0,4.0,MRN,101.0,,6.0,,7.0,LoMt-5,FY23/Q3,,x,,,,x,,,,,75.0,X,,,,,X,,,,,100.0,88.0
130.0,4.0,MRN,101.0,,7.0,,8.0,LoMt-5,FY23/Q3,,x,,,,x,,,,,75.0,X,,,,,X,,,,,100.0,88.0
131.0,4.0,MRN,101.0,,9.0,,10.0,LoMt-5,FY23/Q3,,x,,,,,x,,,,50.0,X,,,,,X,,,,,100.0,75.0
132.0,4.0,MRN,101.0,,10.0,,11.0,LoMt-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,,X,,,,75.0,88.0
133.0,4.0,MRN,101.0,,11.0,,12.0,LoMt-5,FY23/Q3,x,,,,,,x,,,,75.0,X,,,,,X,,,,,100.0,88.0
134.0,4.0,MRN,101.0,,12.0,,13.0,LoMt-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
135.0,4.0,MRN,101.0,,13.0,,14.0,LoMt-5,FY23/Q3,x,,,,,x,,,,,100.0,,X,,,X,X,,,,,75.0,88.0
136.0,4.0,MRN,101.0,,17.0,,18.0,LoMt-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
137.0,4.0,MRN,101.0,,18.0,,19.0,LoMt-5,FY23/Q3,,x,,,,,x,,,,50.0,X,,,,,X,,,,,100.0,75.0
140.0,4.0,MRN,580.0,,3.0,,4.0,LoMt-4,FY23/Q3,,x,,,,,x,,,,50.0,X,,,,,X,,,,,100.0,75.0
141.0,4.0,SCL,17.0,,0.0,,1.0,NoCst-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
142.0,4.0,SCL,17.0,,1.0,,2.0,NoCst-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
143.0,4.0,SCL,17.0,,2.0,,3.0,NoCst-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
144.0,4.0,SCL,17.0,,3.0,,4.0,NoCst-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
145.0,4.0,SCL,17.0,,4.0,,5.0,NoCst-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
146.0,4.0,SCL,17.0,,6.0,,7.0,NoCst-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
147.0,4.0,SCL,17.0,,7.0,,8.0,NoCst-4,FY23/Q3,,x,,,,x,,,,,75.0,,X,,,,X,,,,,75.0,75.0
148.0,4.0,SCL,17.0,,8.0,,9.0,NoCst-4,FY23/Q3,,x,,,,,x,,,,50.0,,X,,,,,X,,,,50.0,50.0
149.0,4.0,SCL,17.0,,9.0,,10.0,NoCst-4,FY23/Q3,,x,,,,x,,,,,75.0,,,X,,,,,X,,,0.0,38.0
150.0,4.0,SCL,17.0,,10.0,,11.0,NoCst-4,FY23/Q3,,x,,,,x,,,,,75.0,,,X,,X,,X,,,,25.0,50.0
151.0,4.0,SCL,17.0,,11.0,,12.0,NoCst-4,FY23/Q3,,x,,,,x,,,,,75.0,X,,,,,,,X,,,50.0,63.0
152.0,4.0,SCL,17.0,,12.0,,13.0,NoCst-4,FY23/Q3,,,x,,,,x,,,,25.0,X,,,,,X,,,,,100.0,63.0
153.0,4.0,SCL,85.0,,2.0,,3.0,NoCst-5,FY23/Q3,,,x,,,x,,,,,50.0,,X,,,,X,,,,,75.0,63.0
154.0,4.0,SCL,85.0,,3.0,,4.0,NoCst-5,FY23/Q3,,x,,,,x,,,,,75.0,X,,,,,X,,,,,100.0,88.0
155.0,4.0,SCL,85.0,,4.0,,5.0,NoCst-5,FY23/Q3,,x,,,,x,,,,,75.0,,X,,,,X,,,,,75.0,75.0
156.0,4.0,SCL,85.0,,6.0,,7.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
157.0,4.0,SCL,85.0,,7.0,,8.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
158.0,4.0,SCL,85.0,,8.0,,9.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
159.0,4.0,SCL,85.0,,9.0,,10.0,NoCst-5,FY23/Q3,x,,,,,,x,,,,75.0,X,,,,,,X,,,X,75.0,75.0
160.0,4.0,SCL,85.0,R,11.0,,12.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
161.0,4.0,SCL,85.0,,12.0,,13.0,NoCst-5,FY23/Q3,x,,,,,,x,,,,75.0,X,,,,,X,,,,,100.0,88.0
162.0,4.0,SCL,85.0,,13.0,,14.0,NoCst-5,FY23/Q3,,x,,,,,x,,,,50.0,X,,,,,X,,,,,100.0,75.0
163.0,4.0,SCL,85.0,,14.0, ,15.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
164.0,4.0,SCL,85.0, ,15.0,R,16.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
165.0,4.0,SCL,85.0,R,17.0,,18.0,NoCst-5,FY23/Q3,,x,,,,x,,,,,75.0,X,,,,,X,,,,,100.0,88.0
166.0,4.0,SCL,85.0,,18.0,,19.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
167.0,4.0,SCL,85.0,,19.0,,20.0,NoCst-5,FY23/Q3,,x,,,,x,,,,,75.0,X,,,,,X,,,,,100.0,88.0
168.0,4.0,SCL,85.0,,20.0,,21.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
169.0,4.0,SCL,85.0,,21.0,,22.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
170.0,4.0,SCL,85.0, ,22.0,R,23.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
171.0,4.0,SCL,87.0,,1.0,,2.0,NoCst-5,FY23/Q3,,x,,,,x,,,,,75.0,,,X,,,,,X,,,0.0,38.0
172.0,4.0,SCL,87.0,,2.0,,3.0,NoCst-5,FY23/Q3,,,x,,,x,,,,,50.0,,,X,,,,,X,,,0.0,25.0
173.0,4.0,SCL,87.0,,3.0,,4.0,NoCst-5,FY23/Q3,,x,,,,x,,,,,75.0,,,X,,,X,,,,,50.0,63.0
174.0,4.0,SCL,87.0,,4.0,,5.0,NoCst-5,FY23/Q3,,,x,,,x,,,,,50.0,,,X,,,,,X,,X,0.0,25.0
175.0,4.0,SCL,87.0,,5.0,,6.0,NoCst-5,FY23/Q3,,,x,,,,,x,,x,0.0,,,X,,X,,X,,,X,25.0,13.0
176.0,4.0,SCL,87.0,,6.0,,7.0,NoCst-5,FY23/Q3,,,x,,,,x,,,,25.0,,,X,,,,,X,,,0.0,13.0
177.0,4.0,SCL,87.0,,7.0,,8.0,NoCst-5,FY23/Q3,,x,,,,,x,,,,50.0,,,X,,,,,X,,,0.0,25.0
178.0,4.0,SCL,101.0,R,17.0,,18.0,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,,,X,,,,,X,,,0.0,50.0
179.0,4.0,SCL,101.0,,18.0,,19.0,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,,,X,,,50.0,75.0
180.0,4.0,SCL,101.0,,19.0,,20.0,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,,,X,,,50.0,75.0
181.0,4.0,SCL,101.0,,20.0,,21.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,,X,,,,,X,,,,50.0,75.0
182.0,4.0,SCL,101.0,R,27.0,,28.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,,X,,,,75.0,88.0
