SegID,ORDER,DIST,CO,RTE,PREFIX,BEGPM,PREFIX.1,ENDPM,Length,HG,MAINT_DIST,MAINT_RGN,DIST_RGN,BUDGETZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass.1","NB/EB
Need 1.1","NB/EB
Need 2.1","NB/EB
Construction.1","NB/EB
Encampments.1","SB/WB 
Pass.1","SB/WB
Need 1.1","SB/WB
Need 2.1","SB/WB
Construction.1","SB/WB
Encampments.1",RA LOS Score,Average LOS score
43.0,,1.0,MEN,101,,19.0,,20.0,1.0,,,,,LoMt-2,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
44.0,,1.0,MEN,101,,20.0,,21.0,1.0,,,,,LoMt-2,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
45.0,,1.0,MEN,101,,21.0,,22.0,1.0,,,,,LoMt-2,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
46.0,,1.0,MEN,101,,22.0,,23.0,1.0,,,,,LoMt-2,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
47.0,,1.0,MEN,101,,23.0,,24.0,1.0,,,,,LoMt-2,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
48.0,,1.0,MEN,101,,24.0,,25.0,1.0,,,,,LoMt-2,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
49.0,,1.0,MEN,101,,25.0,,26.0,1.0,,,,,LoMt-2,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
50.0,,1.0,MEN,101,,26.0,,27.0,1.0,,,,,LoMt-2,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
51.0,,1.0,MEN,101,,27.0,,28.0,1.0,,,,,LoMt-2,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
52.0,,1.0,MEN,101,,28.0,,29.0,1.0,,,,,LoMt-2,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
53.0,,1.0,MEN,101,,29.0,,30.0,1.0,,,,,LoMt-2,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
54.0,,1.0,MEN,101,,30.0,,31.0,1.0,,,,,LoMt-2,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
55.0,,1.0,MEN,101,,31.0,,32.0,1.0,,,,,LoMt-2,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
56.0,,1.0,MEN,101,,32.0,,33.0,1.0,,,,,LoMt-2,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
57.0,,1.0,MEN,101,,33.0,,34.0,1.0,,,,,LoMt-2,FY23/Q3,X,,,,,X,,,,,100.0,,X,,,,X,,,,,75.0,88.0
58.0,,1.0,MEN,101,,34.0,R,35.0,1.0,,,,,LoMt-2,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
